probPopping,threshold,numChoices,share1,share2,time,noResolution,startingContents,increaseRates,discoveryRate, discoveryRateOptimal, recruitmentRate
0,5,2,0.4536,0.3858,33.80070391399557,1606,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,5,2,0.3623,0.4709,34.65032003119404,1668,"(0, 0)","((2,), (1,))",0.1,0.4,0.5
0,5,2,0.1897,0.6534,34.045822072912785,1569,"(0, 0)","((2,), (1,))",0.1,0.2,0.5
0,5,2,0.5753,0.4247,11.302768934731594,0,"(0, 0)","((2,), (1,))",0.25,0.5,0.5
0,5,2,0.4498,0.5502,11.318314724146646,0,"(0, 0)","((2,), (1,))",0.25,0.4,0.5
0,5,2,0.2215,0.7784,11.42780168375396,1,"(0, 0)","((2,), (1,))",0.25,0.2,0.5
0,5,2,0.5857,0.4143,4.8351313347763645,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,5,2,0.4639,0.5361,4.921277936508008,0,"(0, 0)","((2,), (1,))",0.5,0.4,0.5
0,5,2,0.1981,0.8019,4.938397027417316,0,"(0, 0)","((2,), (1,))",0.5,0.2,0.5
0,6,2,0.4749,0.3756,34.323897004557494,1495,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,6,2,0.3639,0.473,34.49754632637469,1631,"(0, 0)","((2,), (1,))",0.1,0.4,0.5
0,6,2,0.184,0.6569,34.602795042202104,1591,"(0, 0)","((2,), (1,))",0.1,0.2,0.5
0,6,2,0.5794,0.4206,11.346611373227736,0,"(0, 0)","((2,), (1,))",0.25,0.5,0.5
0,6,2,0.4546,0.5454,11.659172691818503,0,"(0, 0)","((2,), (1,))",0.25,0.4,0.5
0,6,2,0.2161,0.7839,11.88499849834018,0,"(0, 0)","((2,), (1,))",0.25,0.2,0.5
0,6,2,0.6056,0.3944,5.076741355311119,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,6,2,0.4603,0.5397,5.165675001664697,0,"(0, 0)","((2,), (1,))",0.5,0.4,0.5
0,6,2,0.1879,0.8121,5.256844645909104,0,"(0, 0)","((2,), (1,))",0.5,0.2,0.5
0,7,2,0.4618,0.3736,35.20009432511779,1646,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,7,2,0.3753,0.4638,35.39037495973748,1609,"(0, 0)","((2,), (1,))",0.1,0.4,0.5
0,7,2,0.1898,0.642,35.47216599970098,1682,"(0, 0)","((2,), (1,))",0.1,0.2,0.5
