startingContents,"(1, 1)"
increaseBy,"(2, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.50215,1.0,0
0.05,2,0.52373,1.0584923396935877,4
0.1,2,0.5429,1.1405568231856211,76
0.2,2,0.56766,1.3800657284567925,804
0.0,3,0.66643,1.3330066666675355,0
0.05,3,0.66258,1.452477389632152,9
0.1,3,0.65876,1.6095042700826148,80
0.2,3,0.64307,2.1074521906292474,1170
0.0,4,0.64959,1.9351229999995447,0
0.05,4,0.66415,2.05291676250811,9
0.1,4,0.67259,2.2166244641271646,85
0.2,4,0.6686,2.764024672111705,1211
0.0,5,0.71381,2.0777816190485323,0
0.05,5,0.7129,2.2500791031492278,10
0.1,5,0.7081,2.474902811461584,96
0.2,5,0.69282,3.22628656206049,1254
0.0,6,0.70881,2.4553152380958214,0
0.05,6,0.71769,2.6149865560682564,8
0.1,6,0.71878,2.8465489523780025,89
0.2,6,0.70134,3.6934558828974087,1302
0.0,7,0.74565,2.540553175325339,0
0.05,7,0.74358,2.7503604408031883,11
0.1,7,0.74002,3.023712558925102,94
0.2,7,0.71722,3.95889093861926,1335
0.0,8,0.74288,2.8178914196915836,0
0.05,8,0.74983,3.003380466175624,6
0.1,8,0.75022,3.276497989579726,84
0.2,8,0.72373,4.284756908631914,1314
0.0,9,0.76772,2.87838887712305,0
0.05,9,0.76392,3.1308077294093186,8
0.1,9,0.76012,3.4435995627641405,85
0.2,9,0.73455,4.501842248826508,1315
0.0,10,0.76859,3.089717672400781,0
0.05,10,0.77207,3.301766229753158,4
0.1,10,0.76688,3.620966588981414,93
0.2,10,0.73834,4.733569813275459,1348
0.0,11,0.78458,3.1366106663624835,0
0.05,11,0.78563,3.4050144008537684,3
0.1,11,0.7743,3.7500434042962465,89
0.2,11,0.74118,4.930430677012815,1344
0.0,12,0.78768,3.3102659367817537,0
0.05,12,0.78627,3.553099484244943,5
0.1,12,0.78155,3.8857129531699366,93
0.2,12,0.74866,5.088668034692744,1326
0.0,13,0.80189,3.346381468224867,0
0.05,13,0.79437,3.629271247394378,7
0.1,13,0.78538,4.003837312852492,96
0.2,13,0.75333,5.240211034996202,1386
0.0,14,0.80043,3.4986114726009503,0
0.05,14,0.79984,3.7438232120797825,9
0.1,14,0.79439,4.106330293565728,101
