startingContents,"(1, 1, 1)"
increaseBy,"(2, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.33246,1.0,0
0.05,2,0.35616,1.076795,0
0.1,2,0.37657,1.1827396191695336,8
0.2,2,0.40086,1.5261530429893782,394
0.0,3,0.53203,1.598371000000498,0
0.05,3,0.52846,1.7568010000005019,0
0.1,3,0.52364,1.9835472158601894,23
0.2,3,0.51047,2.9046808940016273,895
0.0,4,0.50858,2.435845285718004,0
0.05,4,0.52447,2.635743345822547,2
0.1,4,0.53279,2.953010363978977,20
0.2,4,0.53341,4.3669957143767375,1809
0.0,5,0.59246,2.7282373690505186,0
0.05,5,0.58949,3.0282084188323957,0
0.1,5,0.5826,3.482908689963193,20
0.2,5,0.56258,5.300639060680297,2839
0.0,6,0.58072,3.274358595072853,0
0.05,6,0.59423,3.5936911764227086,1
0.1,6,0.6007,4.093133251955131,33
0.2,6,0.57868,6.2023865296343255,3966
0.0,7,0.63342,3.4547191677888,0
0.05,7,0.62887,3.875716859942711,2
0.1,7,0.62501,4.492194694620576,17
0.2,7,0.59157,6.850357794994905,5162
0.0,8,0.63047,3.8522514884503343,0
0.05,8,0.63965,4.249319755779932,0
0.1,8,0.6367,4.906232593562638,38
0.2,8,0.601,7.421592650457496,6359
0.0,9,0.66329,3.9813842429566213,0
0.05,9,0.65826,4.4765700627750515,0
0.1,9,0.65294,5.206426400833093,20
0.2,9,0.60612,7.894998049048398,7311
0.0,10,0.66219,4.296685341082756,0
0.05,10,0.66665,4.757437045290743,1
0.1,10,0.66449,5.506219991925631,26
0.2,10,0.61223,8.268993488690414,8088
0.0,11,0.6889,4.3876591179846045,0
0.05,11,0.68316,4.943181501014298,1
0.1,11,0.67233,5.771755601575511,21
0.2,11,0.62089,8.560236192581703,9023
0.0,12,0.68541,4.6568809104196704,0
0.05,12,0.68982,5.167174747255189,0
0.1,12,0.68154,5.994830838023369,37
0.2,12,0.62915,8.817105744959699,9627
0.0,13,0.70874,4.73159795063367,0
0.05,13,0.70108,5.324088863516593,0
0.1,13,0.68997,6.190027938251412,27
0.2,13,0.63068,9.087704149113245,10279
0.0,14,0.7069,4.948871820256703,0
0.05,14,0.7087,5.512110724224626,3
0.1,14,0.69723,6.408933917535391,25
0.2,14,0.63251,9.33697124189477,11039
0.0,15,0.72365,5.013237955423198,0
0.05,15,0.71715,5.653735533925693,0
0.1,15,0.70104,6.593375003646048,37
0.2,15,0.63483,9.520534663273219,11704
0.0,16,0.72438,5.206543860375672,0
0.05,16,0.72367,5.797609956641169,2
0.1,16,0.70771,6.766399077998249,33
0.2,16,0.6376,9.666420791021038,12403
0.0,17,0.7396,5.252811777066293,0
0.05,17,0.72961,5.923701104896994,1
0.1,17,0.71369,6.915039271924053,46
0.2,17,0.64087,9.811350998399028,12947
0.0,18,0.73895,5.42914422481959,0
0.05,18,0.73534,6.053866147289794,0
0.1,18,0.71921,7.057640168183219,51
0.2,18,0.64299,9.950290541838978,13735
0.0,19,0.7506,5.475532301248795,0
0.05,19,0.74027,6.163165299846534,1
0.1,19,0.72227,7.205735905250226,39
0.2,19,0.64433,10.093855349703352,14319
0.0,20,0.75231,5.613880203468396,0
0.05,20,0.74417,6.283791780301103,1
0.1,20,0.7258,7.329446203187305,44
0.2,20,0.64695,10.19895686821544,14748
0.0,21,0.7607,5.662327540487884,0
0.05,21,0.74624,6.393379529017478,1
0.1,21,0.73033,7.444536431561989,51
0.2,21,0.64913,10.277949535755944,15349
0.0,22,0.76228,5.797951333806767,0
0.05,22,0.75409,6.479371449682391,0
0.1,22,0.73491,7.570202343353816,39
0.2,22,0.64681,10.400918075893555,16040
0.0,23,0.76834,5.839921703674321,0
0.05,23,0.75935,6.562784946839633,1
0.1,23,0.73768,7.6802470494964,50
0.2,23,0.64792,10.483705880384505,16398
0.0,24,0.76705,5.967866178563876,0
0.05,24,0.76115,6.668569565944332,0
0.1,24,0.73786,7.799545086976638,41
0.2,24,0.64928,10.581221581100726,16811
0.0,25,0.77776,5.99490194400583,0
0.05,25,0.76535,6.739671160260061,1
0.1,25,0.74013,7.893763089315316,65
0.2,25,0.65204,10.63475883439579,17420
0.0,30,0.78991,6.3734139350341135,0
