startingContents,"(1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.24842,1.0,0
0.05,2,0.26853,1.0867799999999872,0
0.1,2,0.28623,1.2061120611205545,1
0.2,2,0.30932,1.6125060115421739,192
0.0,3,0.45604,1.827305333332472,0
0.05,3,0.4492,2.025967428570351,0
0.1,3,0.4461,2.3376067704451575,8
0.2,3,0.43509,3.712574704388954,919
0.0,4,0.42648,2.884748721501127,0
0.05,4,0.4472,3.193528922078099,0
0.1,4,0.45714,3.71855186032941,11
0.2,4,0.45358,6.073762388865465,3885
0.0,5,0.51954,3.321114297480433,0
0.05,5,0.51585,3.783974150904899,0
0.1,5,0.5115,4.55534872676984,19
0.2,5,0.48083,7.485515233613473,10262
0.0,6,0.50988,4.029732296773358,0
0.05,6,0.52183,4.54345903711258,1
0.1,6,0.52957,5.464143943176275,47
0.2,6,0.4919,8.553352336765307,15907
0.0,7,0.56231,4.3042645515204665,0
0.05,7,0.5573,4.987510400233621,0
0.1,7,0.5542,6.099263200880437,54
0.2,7,0.50194,9.20281380175927,21643
0.0,8,0.55897,4.834356705330548,0
0.05,8,0.57029,5.5003883611931235,0
0.1,8,0.57121,6.70709811718596,72
0.2,8,0.50956,9.703309071665522,26436
0.0,9,0.60034,5.0250166429577,0
0.05,9,0.59238,5.8564261876111505,0
0.1,9,0.58497,7.21167942281468,102
0.2,9,0.51507,10.053878838093961,30171
0.0,10,0.59666,5.4488643872411755,0
0.05,10,0.60571,6.242186761984636,1
0.1,10,0.59833,7.68211223331868,128
0.2,10,0.51815,10.367870604114934,33232
0.0,11,0.6279,5.589041237812033,0
0.05,11,0.62305,6.510532341044096,0
0.1,11,0.61083,8.063053777899214,198
0.2,11,0.52242,10.60435614518473,35443
0.0,12,0.62294,5.947246062284468,0
0.05,12,0.63105,6.840789492475412,0
0.1,12,0.61585,8.457183593656646,205
0.2,12,0.52621,10.824760495554276,37221
0.0,13,0.65091,6.056309525775969,0
0.05,13,0.64243,7.088067689433158,0
0.1,13,0.62718,8.775415851432811,238
0.2,13,0.52379,11.012410567678272,39244
0.0,14,0.64714,6.3554817404767565,0
0.05,14,0.65278,7.3221519469257705,1
0.1,14,0.63319,9.111490998996798,292
0.2,14,0.52829,11.152214430812077,40388
0.0,15,0.66891,6.44451291398583,0
0.05,15,0.66188,7.536055919914524,0
0.1,15,0.64076,9.35529026191797,351
0.2,15,0.52824,11.32694647140557,41549
0.0,16,0.67114,6.697757049071237,0
0.05,16,0.66565,7.751556082984259,0
0.1,16,0.64885,9.62965227316461,365
0.2,16,0.531,11.48590184669971,42206
0.0,17,0.6843,6.7830105105559815,0
0.05,17,0.67457,7.947630211234373,0
0.1,17,0.65459,9.861886938104456,447
0.2,17,0.52922,11.643980656672557,43241
0.0,18,0.68428,7.010743307788294,0
0.05,18,0.68336,8.117468196628591,0
0.1,18,0.65569,10.114140117174609,486
0.2,18,0.53082,11.731609540169384,43780
0.0,19,0.6973,7.075164484013795,0
0.05,19,0.68764,8.293665113295097,0
0.1,19,0.6632,10.300453288125377,535
0.2,19,0.53443,11.86637428071632,44043
0.0,20,0.69709,7.282404502375672,0
0.05,20,0.6911,8.461734207584259,0
0.1,20,0.66534,10.532248873509015,608
0.2,20,0.53263,12.016552693270917,44520
0.0,21,0.71163,7.33781410307048,0
0.05,21,0.70193,8.588511417099573,0
0.1,21,0.66834,10.708585154860952,720
0.2,21,0.53048,12.13119935134967,45200
0.0,22,0.71157,7.522389405416087,0
0.05,22,0.70248,8.743874517012115,2
0.1,22,0.67176,10.880815965223581,789
0.2,22,0.53237,12.266376271048918,45348
0.0,23,0.72158,7.579602703106662,0
0.05,23,0.7062,8.891669044216927,1
0.1,23,0.6754,11.038393817092288,895
0.2,23,0.5323,12.392509619702974,45577
0.0,24,0.72119,7.741575323570441,0
0.05,24,0.71115,9.014165561487612,0
0.1,24,0.67711,11.205679605378771,983
0.2,24,0.52901,12.514515951992784,46116
0.0,25,0.73199,7.784074875805311,0
0.05,25,0.71488,9.145445731164536,1
0.1,25,0.68331,11.335704705077621,1033
0.2,25,0.53238,12.621671876404294,45937
0.0,30,0.74795,8.306328400045444,0
0.05,30,0.73377,9.694489532054522,0
0.1,30,0.69099,11.993864470014037,1621
