startingContents,"(1, 3)"
increaseBy,"(2, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,5,0.24313,1.923847999998779,0
0.05,5,0.26841,2.21134242856981,0
0.1,5,0.29172,2.743521269038873,19
0.2,5,0.35116,5.080113410052173,6030
0.0,6,0.25498,2.6578098730178428,0
0.05,6,0.30498,3.1044231428582862,0
0.1,6,0.35552,3.9062793772738713,28
0.2,6,0.42071,6.876095635104959,11481
0.0,7,0.32519,3.1023229812409765,0
0.05,7,0.36401,3.7203132611832155,0
0.1,7,0.40706,4.715442706897399,49
0.2,7,0.45923,8.008016530165087,17458
0.0,8,0.32979,3.6411848553672264,0
0.05,8,0.38952,4.279155119658141,0
0.1,8,0.43925,5.427378658313647,75
0.2,8,0.47416,8.83407815173887,23210
0.0,9,0.38236,3.948415776665862,0
0.05,9,0.42475,4.693138528137698,0
0.1,9,0.4674,5.984081869063347,87
0.2,9,0.4926,9.429926537766853,26688
0.0,10,0.38323,4.372874708361533,0
0.05,10,0.44558,5.143773339572646,0
0.1,10,0.48976,6.553414522599392,131
0.2,10,0.49968,9.927860937999583,30329
0.0,11,0.42728,4.599420872837603,0
0.05,11,0.46412,5.4939847093366385,0
0.1,11,0.51145,6.9858689669574305,120
0.2,11,0.50693,10.313394101808113,32625
0.0,12,0.42513,4.954529134833797,0
0.05,12,0.48565,5.837485965043847,0
0.1,12,0.52402,7.425863470488455,173
0.2,12,0.51228,10.628780652102453,35090
0.0,13,0.4601,5.132729068380014,0
0.05,13,0.50099,6.124392725979092,0
0.1,13,0.54107,7.793588309980536,187
0.2,13,0.5187,10.885924370476616,36693
0.0,14,0.45404,5.431743738798504,0
0.05,14,0.5143,6.399316670502742,0
0.1,14,0.55226,8.134344528104073,195
0.2,14,0.51938,11.086149590558684,38385
0.0,15,0.48348,5.5802887816883615,0
0.05,15,0.52866,6.643007818862678,0
0.1,15,0.56367,8.453481190301918,254
0.2,15,0.52452,11.266467242424161,39491
0.0,16,0.48633,5.837689432003026,0
0.05,16,0.5435,6.878435561746829,0
0.1,16,0.57483,8.751048774653299,303
0.2,16,0.52498,11.506083814093628,40562
0.0,17,0.5118,5.958314758787461,0
0.05,17,0.5532,7.092745679640194,0
0.1,17,0.58602,9.013632782989976,343
0.2,17,0.52747,11.664080890504364,41408
0.0,18,0.50883,6.193386534766844,0
0.05,18,0.56023,7.294316378198812,0
0.1,18,0.59075,9.246924779264566,382
0.2,18,0.52564,11.812917836310627,42513
0.0,19,0.53109,6.288897520078239,0
0.05,19,0.57332,7.477811849566675,0
0.1,19,0.59774,9.497700871423184,456
0.2,19,0.5294,11.948960625339714,42861
0.0,20,0.52878,6.502183703193406,0
0.05,20,0.57699,7.66924407190079,2
0.1,20,0.60516,9.719384579348759,434
0.2,20,0.52808,12.073939111296736,43800
0.0,21,0.54889,6.588558970442657,0
0.05,21,0.58761,7.829143259245534,2
0.1,21,0.61104,9.917571441454658,518
0.2,21,0.52977,12.233268698736898,43922
0.0,22,0.5478,6.773498845984034,0
0.05,22,0.59688,7.991449483303294,0
0.1,22,0.61966,10.110266307177932,582
0.2,22,0.53029,12.34137868425031,44431
0.0,23,0.56439,6.855033733480986,0
0.05,23,0.60544,8.131679507234272,1
0.1,23,0.62252,10.272464963608549,645
0.2,23,0.52967,12.464432136279695,44925
0.0,24,0.56295,7.026336479441041,0
0.05,24,0.60525,8.295956837036444,0
0.1,24,0.62843,10.461206192439413,619
0.2,24,0.53121,12.568495147401807,45085
0.0,25,0.57888,7.095424273745876,0
0.05,25,0.6191,8.407578703045173,2
0.1,25,0.63429,10.615655077010105,700
