startingContents,"(1, 1, 1)"
increaseBy,"(3, 2, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.33532,1.0,0
0.05,2,0.34358,1.03925,0
0.1,2,0.36013,1.0933624689975199,8
0.2,2,0.38522,1.2714211337832155,122
0.0,3,0.41751,1.2475075,0
0.05,3,0.43393,1.3313005000000258,0
0.1,3,0.44502,1.4522046984229076,9
0.2,3,0.45954,1.8975546420694844,260
0.0,4,0.55397,1.661881785715817,0
0.05,4,0.54032,1.79636905893025,1
0.1,4,0.53429,1.97428930277727,11
0.2,4,0.51886,2.6205753304161794,511
0.0,5,0.46585,2.0814095584431667,0
0.05,5,0.4832,2.2183073571447034,0
0.1,5,0.49505,2.409448363013901,8
0.2,5,0.50227,3.152795655353787,758
0.0,6,0.54157,2.3471561878968314,0
0.05,6,0.54782,2.4786074672009804,0
0.1,6,0.54476,2.7024610090574623,11
0.2,6,0.53647,3.542631104592549,1039
0.0,7,0.55741,2.3844656987194757,0
0.05,7,0.5568,2.618642961676833,0
0.1,7,0.55787,2.902511099143834,11
0.2,7,0.54429,3.8619897726293115,1333
0.0,8,0.55167,2.7880499111185526,0
0.05,8,0.55809,2.949201333310585,0
0.1,8,0.56135,3.2077144844443235,3
0.2,8,0.54964,4.1958683444893765,1602
0.0,9,0.56208,2.809830030035315,0
0.05,9,0.56824,3.0283649092258305,0
0.1,9,0.56986,3.343761409001156,7
0.2,9,0.56043,4.406760999163667,1720
0.0,10,0.60142,2.9422023968806164,0
0.05,10,0.58812,3.175666374331917,1
0.1,10,0.58021,3.516983579031798,7
0.2,10,0.56157,4.629100094681405,1978
0.0,11,0.5681,3.130793273211167,0
0.05,11,0.5821,3.357642774896155,0
0.1,11,0.58434,3.702506007305574,13
0.2,11,0.564,4.840216811169486,2154
0.0,12,0.60015,3.2415655786760107,0
0.05,12,0.59789,3.4613029825559467,0
0.1,12,0.59009,3.8235136691822245,9
0.2,12,0.57073,4.980494737718554,2383
0.0,13,0.60205,3.249366710395305,0
0.05,13,0.60013,3.5625822029394922,0
0.1,13,0.59932,3.9525470210857883,14
0.2,13,0.57289,5.141889585244693,2561
0.0,14,0.60525,3.4708696847065696,0
0.05,14,0.60103,3.7155810821942388,0
0.1,14,0.59952,4.0751577203175176,11
0.2,14,0.57499,5.261298332834566,2742
0.0,15,0.6058,3.481592862568767,0
0.05,15,0.61202,3.7672159334348736,1
0.1,15,0.60573,4.163160632815407,15
0.2,15,0.57996,5.3627845802660765,2872
0.0,16,0.62815,3.557656216163428,0
0.05,16,0.61604,3.8560438517850555,0
0.1,16,0.60814,4.267370417664586,12
0.2,16,0.5843,5.48676020193573,2958
0.0,17,0.61047,3.676737926369434,0
0.05,17,0.61861,3.9540298895767028,0
0.1,17,0.61149,4.366014702103715,17
0.2,17,0.5835,5.587105533564376,3096
0.0,18,0.62744,3.740143126029064,0
0.05,18,0.62312,4.016679362840959,0
0.1,18,0.61416,4.444148002299253,18
0.2,18,0.58631,5.691670681006788,3332
0.0,19,0.62892,3.750251264388056,0
0.05,19,0.62429,4.083324290824427,1
0.1,19,0.61746,4.527760229552388,14
0.2,19,0.58881,5.764586875480165,3463
0.0,20,0.62921,3.906638952235907,0
0.05,20,0.62464,4.177250271034058,0
0.1,20,0.62061,4.613820045939208,20
0.2,20,0.58984,5.85737590200635,3510
0.0,21,0.63115,3.9028540624580508,0
