startingContents,"(1, 1, 1)"
increaseBy,"((3, 2, 2, 1), (2, 1, 1, 0), (2, 1, 1, 0))"
Iterations,20000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.56565,0.2153,2.868018798701009,0
0.05,5,0.56715,0.21875,3.184249128375718,2
0.1,5,0.56305,0.2219,3.679505008310182,28
0.15,5,0.5494,0.2304,4.4313038128563536,229
0.2,5,0.54065,0.25565,5.257600478960624,996
0.0,6,0.59075,0.2002,3.224125469946682,0
0.05,6,0.58455,0.20755,3.630746741299667,1
0.1,6,0.5828,0.20905,4.210819341197691,36
0.15,6,0.57625,0.21635,5.085379866571246,279
0.2,6,0.55005,0.25685,6.053176960994075,1262
0.0,7,0.6099,0.19385,3.5793323549857385,0
0.05,7,0.6129,0.1942,3.997513371349553,3
0.1,7,0.59465,0.20805,4.656105571314327,45
0.15,7,0.5874,0.21515,5.679892078298788,311
0.2,7,0.5699,0.2568,6.688978928551041,1477
0.0,8,0.62295,0.19105,3.8478898611283543,0
0.05,8,0.6206,0.18705,4.298322716104645,4
0.1,8,0.6176,0.1938,5.047335844380032,46
0.15,8,0.60635,0.2025,6.030453215362978,334
0.2,8,0.57585,0.2525,7.145581562636148,1709
0.0,9,0.64225,0.18,4.08050459275658,0
0.05,9,0.6351,0.18305,4.590386938747046,2
0.1,9,0.6333,0.1866,5.372326284862407,54
0.15,9,0.61725,0.20275,6.500011430729954,387
0.2,9,0.5894,0.2534,7.606440962910231,1941
0.0,10,0.6528,0.1735,4.297028088935373,0
0.05,10,0.65435,0.1719,4.845636379973085,4
0.1,10,0.63755,0.1899,5.653239193809661,53
0.15,10,0.62305,0.1992,6.893531979245298,406
0.2,10,0.59305,0.2559,8.032655555435326,2101
0.0,11,0.66385,0.1658,4.47498560266112,0
0.05,11,0.6593,0.17445,5.053741689669242,4
0.1,11,0.6523,0.17535,5.9055346719238,50
0.15,11,0.63285,0.19285,7.162504580441097,445
0.2,11,0.60435,0.2551,8.302387474894061,2271
0.0,12,0.6794,0.15945,4.660009042366993,0
0.05,12,0.67295,0.1649,5.265259228441445,3
0.1,12,0.6651,0.1702,6.142060787019947,46
0.15,12,0.6333,0.1979,7.4292857134894,510
0.2,12,0.6048,0.25775,8.611595699917908,2395
0.0,13,0.6874,0.1562,4.815365302635768,0
0.05,13,0.68265,0.15515,5.425225845840271,2
0.1,13,0.66535,0.16845,6.357356796284985,52
0.15,13,0.648,0.18885,7.678437023244665,496
0.2,13,0.6122,0.2575,8.833883787731065,2571
0.0,14,0.6946,0.1533,4.967668357488821,0
0.05,14,0.6901,0.15815,5.582886238072473,3
0.1,14,0.67445,0.16525,6.535731092453141,60
0.15,14,0.6481,0.18765,7.936356286288229,519
0.2,14,0.60845,0.26515,9.061617626797075,2761
0.0,15,0.70115,0.1487,5.1004533955794304,0
0.05,15,0.6994,0.1474,5.752700457575774,5
0.1,15,0.6861,0.15685,6.7073415979395845,61
0.15,15,0.65905,0.181,8.105036426933385,570
0.2,15,0.6172,0.2572,9.215664669570389,2777
0.0,16,0.7101,0.14335,5.2124957220486365,0
0.05,16,0.7001,0.1516,5.899604871071851,3
0.1,16,0.6849,0.15505,6.934830972268657,50
0.15,16,0.6523,0.18995,8.322805168284273,618
0.2,16,0.624,0.2591,9.448666558894947,2882
0.0,17,0.71795,0.13875,5.3528230494305005,0
0.05,17,0.7058,0.14865,6.036726078288426,2
0.1,17,0.6893,0.157,7.076043204184643,61
0.15,17,0.6645,0.1838,8.490591273848844,627
0.2,17,0.61905,0.2661,9.576374226857645,3113
0.0,18,0.7208,0.13925,5.45293807126887,0
0.05,18,0.7134,0.14475,6.148222511496835,2
0.1,18,0.69445,0.1536,7.235220407360413,66
0.15,18,0.6672,0.18105,8.659363669650116,623
0.2,18,0.6275,0.26475,9.716987274097896,3126
0.0,19,0.727,0.13565,5.563731487904449,0
0.05,19,0.7204,0.1402,6.261616818127027,3
0.1,19,0.70615,0.1508,7.3502103952450835,63
0.15,19,0.6684,0.1821,8.842233756159864,715
0.2,19,0.62875,0.26725,9.940324619330884,3218
0.0,20,0.7305,0.13855,5.654403944556874,0
0.05,20,0.72615,0.13595,6.394985374510448,3
0.1,20,0.698,0.15025,7.479637719136249,85
0.15,20,0.6673,0.1856,8.981810512566089,704
0.2,20,0.63065,0.2709,9.915928518654564,3350
0.0,21,0.7369,0.1305,5.743785262366704,0
0.05,21,0.72815,0.1377,6.493277645138207,2
0.1,21,0.707,0.14925,7.617113489730442,83
0.15,21,0.6784,0.1782,9.100841471430043,704
0.2,21,0.6277,0.27275,10.14826129679463,3512
0.0,22,0.74135,0.1268,5.84623599924403,0
0.05,22,0.73355,0.1347,6.571258439862241,2
0.1,22,0.7073,0.1433,7.720550802636441,74
0.15,22,0.67285,0.18405,9.287597016137079,752
0.2,22,0.63435,0.271,10.145901092345476,3506
0.0,23,0.74515,0.12635,5.92403828501491,0
0.05,23,0.73135,0.1356,6.6952751907646295,7
0.1,23,0.7122,0.1463,7.8768721408151,85
0.15,23,0.68235,0.1813,9.381327011117627,792
0.2,23,0.63265,0.274,10.32019006536749,3632
0.0,24,0.7507,0.1252,6.007807536081222,0
0.05,24,0.7425,0.12975,6.784075053541038,4
0.1,24,0.718,0.1403,7.967311951954552,86
0.15,24,0.68825,0.17535,9.423330468988466,796
0.2,24,0.62595,0.28145,10.48499369037891,3824
0.0,25,0.75545,0.12655,6.09643929296278,0
0.05,25,0.7429,0.1284,6.871730885360471,4
0.1,25,0.71475,0.1432,8.06367258537674,82
0.15,25,0.69115,0.1749,9.53254798571437,832
0.2,25,0.63495,0.27475,10.407424881938102,3788
0.0,26,0.75645,0.12525,6.15631364453533,0
0.05,26,0.74595,0.1264,6.950092605808752,2
0.1,26,0.72215,0.1388,8.168929443765803,87
0.15,26,0.68405,0.1805,9.690827359599263,882
0.2,26,0.6397,0.2792,10.484230125011583,3960
0.0,27,0.7656,0.11835,6.208216948701731,0
0.05,27,0.74855,0.12465,7.048450517819495,4
0.1,27,0.7244,0.13995,8.25787106681204,73
0.15,27,0.69165,0.1767,9.774554762414136,895
0.2,27,0.63735,0.28155,10.61478278180049,4003
0.0,28,0.77045,0.11395,6.273652090749269,0
0.05,28,0.7547,0.12605,7.108652511144275,7
0.1,28,0.7284,0.13655,8.315375854282074,85
0.15,28,0.6907,0.1778,9.874806494849343,930
0.2,28,0.62565,0.291,10.750776218422613,4181
0.0,29,0.77065,0.1126,6.347574336412116,0
0.05,29,0.7571,0.12075,7.172603292251436,2
0.1,29,0.72855,0.1368,8.41450399799338,96
0.15,29,0.6862,0.17935,10.040126681089937,957
0.2,29,0.63945,0.2855,10.735475024900085,4121
0.0,30,0.7718,0.11605,6.432827427887867,0
0.05,30,0.7574,0.1231,7.257539156214225,6
0.1,30,0.72845,0.13625,8.549256099537718,84
0.15,30,0.69,0.17785,10.101199264121037,936
0.2,30,0.64165,0.28395,10.774502312266966,4161
0.0,35,0.7822,0.11145,6.710890988852597,0
0.05,35,0.771,0.11495,7.557884985813477,2
0.1,35,0.7377,0.13455,8.913262823601475,106
0.15,35,0.69575,0.1784,10.453913805903666,1100
0.2,35,0.6413,0.2939,11.069262773297346,4572
0.0,40,0.7962,0.10355,6.9606450006823435,0
0.05,40,0.77905,0.1137,7.83584781957848,4
0.1,40,0.74915,0.1298,9.197160295451361,111
0.15,40,0.7021,0.17915,10.74072267358937,1214
0.2,40,0.6374,0.3038,11.307668286254033,4853
0.0,45,0.80795,0.096,7.152673815561041,0
0.05,45,0.79135,0.10525,8.09310086093775,7
0.1,45,0.75265,0.1277,9.449015988855079,137
0.15,45,0.7143,0.1773,10.940329378629823,1258
0.2,45,0.64225,0.3071,11.446538014847008,5104
0.0,50,0.81685,0.0947,7.3216821797097555,0
0.05,50,0.79865,0.1023,8.310380903955656,10
