startingContents,"(1, 1, 1)"
increaseBy,"(2, 1, 1)"
Iterations,20000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,5,0.5953,2.7214678030298494,0
0.05,5,0.58455,3.02615490800825,0
0.1,5,0.5788,3.4813466284008543,3
0.15,5,0.57975,4.216657710779723,61
0.2,5,0.56735,5.3240013324460245,526
0.0,6,0.58565,3.276528531468436,0
0.05,6,0.59435,3.586642026723163,0
0.1,6,0.6009,4.106156887333618,2
0.15,6,0.5959,4.995041772679206,95
0.2,6,0.57215,6.205646013974519,783
0.0,7,0.6326,3.456514592931476,0
0.05,7,0.6368,3.861250553382334,1
0.1,7,0.6222,4.503128088758317,2
0.15,7,0.612,5.51760091536778,80
0.2,7,0.58925,6.879870130012105,1045
0.0,8,0.62035,3.8681458721606994,0
0.05,8,0.64375,4.238132426437713,0
0.1,8,0.6375,4.916023756551073,4
0.15,8,0.62325,5.9997729563399895,107
0.2,8,0.6105,7.356519275836227,1226
0.0,9,0.6635,3.9768758503024175,0
0.05,9,0.6663,4.4623682066660955,0
0.1,9,0.6598,5.1837109126955685,5
0.15,9,0.6376,6.416261465041098,145
0.2,9,0.60885,7.895669481503638,1439
0.0,10,0.65915,4.320256411643836,0
0.05,10,0.6725,4.74178238995336,0
0.1,10,0.66685,5.5070085636759085,6
0.15,10,0.6491,6.776494435232102,129
0.2,10,0.6129,8.27958550196633,1604
0.0,11,0.6861,4.397993356457476,0
0.05,11,0.68565,4.935186889748011,0
0.1,11,0.67015,5.766798560871004,6
0.15,11,0.64685,7.146803343403804,180
0.2,11,0.62135,8.56030378231466,1787
0.0,12,0.6912,4.646761426412333,0
0.05,12,0.6874,5.174392865491908,0
0.1,12,0.68255,5.981498092229075,4
0.15,12,0.6587,7.387796428955353,192
0.2,12,0.6203,8.852870486129667,1992
0.0,13,0.70625,4.731020787495812,0
0.05,13,0.70025,5.317487762378084,0
0.1,13,0.68695,6.213491428998371,3
0.15,13,0.6675,7.648896368647781,215
0.2,13,0.63385,9.090862794468833,2075
0.0,14,0.7108,4.951150656159239,0
0.05,14,0.70935,5.50949932748895,0
0.1,14,0.7012,6.369153162352898,4
0.15,14,0.6687,7.9223184751508375,196
0.2,14,0.6342,9.30993780762438,2179
0.0,15,0.7267,5.004828609782509,0
0.05,15,0.7175,5.643566221281106,0
0.1,15,0.70055,6.605420379225696,6
0.15,15,0.67555,8.122478808280361,244
0.2,15,0.6351,9.543702604755083,2329
0.0,16,0.7246,5.202854849518311,0
0.05,16,0.7245,5.79157045979382,0
0.1,16,0.70825,6.742543755298681,7
0.15,16,0.68605,8.257432945058943,235
0.2,16,0.64145,9.621151331043112,2500
0.0,17,0.7355,5.250051902826105,0
0.05,17,0.72875,5.9406768389820845,0
0.1,17,0.70905,6.94981984961837,5
0.15,17,0.68265,8.503623613419391,261
0.2,17,0.6335,9.889739396497005,2676
0.0,18,0.7433,5.417975277221203,0
0.05,18,0.73405,6.032690860797806,0
0.1,18,0.7168,7.059833414705941,10
0.15,18,0.68665,8.666397905066514,258
0.2,18,0.64365,9.960191049283477,2753
0.0,19,0.7487,5.471313124908664,0
0.05,19,0.73935,6.159457863962962,0
0.1,19,0.7218,7.182716605511359,11
0.15,19,0.6817,8.878426771137233,289
0.2,19,0.64665,10.080662952390554,2853
0.0,20,0.7527,5.633668618342532,0
0.05,20,0.7458,6.276856459447203,0
0.1,20,0.7254,7.326663211190556,13
0.15,20,0.6897,9.067311440340097,284
0.2,20,0.64255,10.20760232781901,3018
0.0,21,0.758,5.666164029681805,0
0.05,21,0.7516,6.38140773342247,0
0.1,21,0.72755,7.4567536460883375,7
0.15,21,0.70615,9.079464745230961,325
0.2,21,0.6523,10.280912658969301,3004
0.0,22,0.76465,5.798225063871223,0
0.05,22,0.75445,6.492933074863697,0
0.1,22,0.73065,7.56614296048311,9
0.15,22,0.69735,9.24115055712686,367
0.2,22,0.6463,10.429910166917384,3156
0.0,23,0.7708,5.829620133067015,0
0.05,23,0.7551,6.584651214266423,0
0.1,23,0.7386,7.648362813895013,5
0.15,23,0.7002,9.399642579198845,374
0.2,23,0.64975,10.461177504415021,3289
0.0,24,0.76815,5.963647743458575,0
0.05,24,0.7585,6.66045226235084,0
0.1,24,0.73985,7.790942422853,11
0.15,24,0.70115,9.530193848568835,352
0.2,24,0.6468,10.477904476626392,3540
0.0,25,0.7783,5.985876680559136,0
0.05,25,0.7667,6.754458081426505,1
0.1,25,0.74325,7.889459474201416,15
0.15,25,0.71135,9.537131845677482,401
0.2,25,0.65005,10.658149898936315,3483
0.0,30,0.79345,6.368762965169303,0
0.05,30,0.7812,7.1124041127010775,0
0.1,30,0.75435,8.336210407789796,17
0.15,30,0.71025,10.145006021817073,488
0.2,30,0.65375,10.878140510085306,3938
0.0,35,0.80605,6.617468524300729,0
0.05,35,0.78865,7.454189621838073,0
0.1,35,0.76225,8.711744285873362,11
0.15,35,0.715,10.528310196232729,626
0.2,35,0.6539,11.029307558652567,4456
0.0,40,0.81655,6.880067240108424,0
0.05,40,0.8092,7.681366260447216,0
0.1,40,0.7663,9.059337161902985,12
0.15,40,0.71505,10.885734710343153,710
0.2,40,0.65735,11.137413949353716,4766
0.0,45,0.82885,7.057048628098867,0
0.05,45,0.8108,7.935698336622471,1
0.1,45,0.7816,9.273164290297766,15
0.15,45,0.7217,11.135294825713983,808
0.2,45,0.66095,11.239842135188924,5001
0.0,50,0.8336,7.2820663043435605,0
0.05,50,0.81765,8.149805408481882,1
0.1,50,0.77865,9.534153878992964,23
0.15,50,0.7227,11.391814092392579,936
0.2,50,0.6652,11.271434950050784,5277
0.0,55,0.8439,7.411617276971543,0
0.05,55,0.82355,8.34467601478776,0
0.1,55,0.78335,9.768038778835537,28
0.15,55,0.73255,11.480865419320729,1011
0.2,55,0.65975,11.30346223975365,5620
0.0,60,0.85235,7.583989971528486,0
0.05,60,0.82515,8.524571334234167,0
0.1,60,0.7775,10.023877596358574,38
0.15,60,0.73075,11.698731496465433,1187
0.2,60,0.66175,11.336648946515545,5792
0.0,65,0.85555,7.693902331394584,0
0.05,65,0.82455,8.695224613103663,1
0.1,65,0.7899,10.169208142768872,40
0.15,65,0.72265,11.931020419381666,1333
0.2,65,0.65815,11.375490846230496,6033
0.0,70,0.8588,7.858036849150229,0
0.05,70,0.8317,8.82760496781569,1
0.1,70,0.7815,10.427937708431244,42
0.15,70,0.73285,12.01461484193248,1369
0.2,70,0.66035,11.472261109859307,6096
0.0,75,0.8665,7.957650198686555,0
0.05,75,0.8367,8.955471788448445,0
0.1,75,0.79165,10.511389920029542,55
0.15,75,0.7345,12.117965600801416,1478
0.2,75,0.66325,11.527098019264676,6181
0.0,80,0.87425,8.0623134465819,0
0.05,80,0.83805,9.096649889490182,0
0.1,80,0.79765,10.638964560420545,40
0.15,80,0.73455,12.204611738852693,1650
0.2,80,0.66485,11.627814611845137,6216
0.0,90,0.87575,8.271176147934229,0
0.05,90,0.8453,9.312275528195341,2
0.1,90,0.7985,10.913789151945563,64
0.15,90,0.7275,12.41278718799609,1886
0.2,90,0.6641,11.741878192447164,6419
0.0,100,0.8862,8.447760837911542,0
0.05,100,0.84895,9.532941450559084,0
0.1,100,0.79875,11.157912868567795,71
0.15,100,0.7347,12.47205254884664,2146
0.2,100,0.6588,11.87099959479523,6657
0.0,110,0.8908,8.600631205886984,0
0.05,110,0.8473,9.7163160147888,0
0.1,110,0.80355,11.359468817294841,74
0.15,110,0.73845,12.51457423847258,2297
0.2,110,0.66835,12.028312193089032,6522
0.0,120,0.889,8.774084412113769,0
0.05,120,0.85675,9.849798533157394,1
0.1,120,0.79885,11.584186922581116,104
0.15,120,0.73125,12.646595159337972,2663
0.2,120,0.663,12.165549682009337,6671
0.0,130,0.8996,8.886686712661987,0
0.05,130,0.8562,10.035284696458548,0
0.1,130,0.80155,11.730784149731178,154
0.15,130,0.7343,12.609978821148028,2880
0.2,130,0.6627,12.339809942935583,6706
0.0,140,0.89665,9.05734958659022,0
0.05,140,0.8612,10.179629622276478,0
0.1,140,0.8014,11.920442084925407,153
0.15,140,0.7373,12.644411805194343,3033
0.2,140,0.65935,12.455305789628381,6777
0.0,150,0.90455,9.110129428865006,0
0.05,150,0.85985,10.296048898799128,1
0.1,150,0.8102,12.018301469772021,150
0.15,150,0.7357,12.666038533294577,3312
0.2,150,0.66575,12.674648834605804,6662
0.0,160,0.90565,9.217398915726635,0
0.05,160,0.8664,10.384932328627142,1
0.1,160,0.80745,12.155386079567707,171
0.15,160,0.73105,12.6725457139464,3582
0.2,160,0.6564,12.762841819316856,6860
0.0,170,0.9069,9.331293188819252,0
0.05,170,0.8655,10.565254112220662,0
0.1,170,0.8091,12.281497331848719,213
0.15,170,0.7375,12.719098568466949,3646
0.2,170,0.6614,12.91884321260464,6762
0.0,180,0.91075,9.456517422131503,0
0.05,180,0.86245,10.673590277394004,0
0.1,180,0.8086,12.358797382675238,262
0.15,180,0.73815,12.641738157896235,3874
0.2,180,0.66385,13.069153221990735,6720
0.0,190,0.9142,9.514027683872495,0
0.05,190,0.86975,10.731087473522932,1
0.1,190,0.809,12.48887354220677,265
0.15,190,0.7434,12.635134154773871,3939
0.2,190,0.65965,13.15160925474155,6807
0.0,200,0.9145,9.606794317412124,0
0.05,200,0.8702,10.829079593273448,1
0.1,200,0.80965,12.585786484515415,297
0.15,200,0.7432,12.654418303326283,4070
0.2,200,0.6581,13.251497608254919,6836
0.0,210,0.91775,9.684950665465461,0
0.05,210,0.87065,10.91327633460721,0
0.1,210,0.8068,12.706693674249614,317
0.15,210,0.7354,12.695138423245337,4324
0.2,210,0.66155,13.378248885130049,6767
0.0,220,0.92265,9.7536419810914,0
0.05,220,0.8699,11.04547269024089,1
0.1,220,0.8124,12.75777073540597,365
0.15,220,0.7401,12.712867237051812,4313
0.2,220,0.65735,13.464025889956863,6852
0.0,230,0.9202,9.83246818921897,0
0.05,230,0.87755,11.100660987364156,1
0.1,230,0.8098,12.825146083942906,415
0.15,230,0.73735,12.671547113914276,4540
0.2,230,0.65535,13.59858350646565,6892
0.0,240,0.92595,9.88895846280355,0
0.05,240,0.8739,11.176604965281125,0
0.1,240,0.8147,12.864393811430649,412
0.15,240,0.7386,12.770948382883182,4578
0.2,240,0.6692,13.687439110647807,6616
0.0,250,0.9286,9.954463252071706,0
0.05,250,0.8762,11.251605638716423,4
0.1,250,0.81335,12.986630050921034,423
0.15,250,0.73645,12.734462851574717,4731
0.2,250,0.6601,13.74953673698461,6798
0.0,260,0.92545,10.020130338995724,0
0.05,260,0.8714,11.382161611150728,3
0.1,260,0.81105,13.058498149665963,508
0.15,260,0.73975,12.761234164920284,4736
0.2,260,0.6602,13.870088206627617,6796
0.0,270,0.9296,10.075108340652635,0
0.05,270,0.8763,11.380470252734018,2
0.1,270,0.8105,13.172049106074471,505
0.15,270,0.7382,12.79850823261404,4827
0.2,270,0.6624,13.960191714270097,6752
0.0,280,0.9311,10.13182103991941,0
0.05,280,0.87625,11.455817320950759,2
0.1,280,0.8103,13.205847993462154,553
0.15,280,0.736,12.81747795904763,4928
0.2,280,0.65395,14.032332446828903,6921
0.0,290,0.9324,10.150882367455266,0
0.05,290,0.87255,11.585438296385323,4
0.1,290,0.8096,13.266930950050307,658
0.15,290,0.735,12.843883135087443,4980
0.2,290,0.6628,14.103201067474439,6744
0.0,300,0.9324,10.264514796991481,0
0.05,300,0.87575,11.626953928492513,6
0.1,300,0.81215,13.280426482384136,680
0.15,300,0.7391,12.874197951851052,4960
