startingContents,"(1, 1)"
increaseBy,"((2, 2), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.71447,0.28553,2.075209142858071,0
0.05,5,0.71146,0.28839,2.2525516684653644,15
0.1,5,0.7084,0.2908,2.5010612775941805,80
0.15,5,0.70104,0.29512,2.905711145083537,384
0.2,5,0.69188,0.29552,3.6164096665616796,1260
0.0,6,0.7087,0.2913,2.4549052222227687,0
0.05,6,0.71982,0.28008,2.612131657611116,10
0.1,6,0.7198,0.27935,2.8635281656082987,85
0.15,6,0.71544,0.28084,3.295512959001701,372
0.2,6,0.70523,0.28136,4.095689433397459,1341
0.0,7,0.74445,0.25555,2.543232301587938,0
0.05,7,0.74184,0.25813,2.759254991214199,3
0.1,7,0.73829,0.26075,3.0567000958726345,96
0.15,7,0.73102,0.26504,3.533836173832088,394
0.2,7,0.71616,0.27054,4.371544227986871,1330
0.0,8,0.74425,0.25575,2.815804688089907,0
0.05,8,0.74671,0.25316,3.012233472802196,13
0.1,8,0.74856,0.25063,3.310589554228616,81
0.15,8,0.73819,0.25782,3.8262297828740057,399
0.2,8,0.72526,0.26216,4.677344385532217,1258
0.0,9,0.76954,0.23046,2.8742124428351405,0
0.05,9,0.76444,0.23545,3.1303980195232715,11
0.1,9,0.75793,0.24125,3.4698913434524514,82
0.15,9,0.74754,0.24854,4.008929424227478,392
0.2,9,0.73486,0.25241,4.898001238893391,1273
0.0,10,0.76622,0.23378,3.0941361270931864,0
0.05,10,0.77077,0.22918,3.30554584699557,5
0.1,10,0.76554,0.23344,3.649629444959151,102
0.15,10,0.75341,0.24286,4.171789849746949,373
0.2,10,0.73595,0.25125,5.13102968612576,1280
0.0,11,0.78813,0.21187,3.134605212994878,0
0.05,11,0.78416,0.21576,3.4068056752210922,8
0.1,11,0.775,0.22414,3.77325710629668,86
0.15,11,0.76449,0.23183,4.342032481417197,368
0.2,11,0.74327,0.24407,5.321335048106152,1266
0.0,12,0.78506,0.21494,3.312334670091646,0
0.05,12,0.78673,0.21318,3.5523040999711686,9
0.1,12,0.78207,0.2171,3.9092179910173335,83
0.15,12,0.76671,0.22934,4.497301572371684,395
0.2,12,0.74777,0.23886,5.5069541160319,1337
0.0,13,0.80106,0.19894,3.3466530894630226,0
0.05,13,0.79404,0.20591,3.6325655709813107,5
0.1,13,0.78589,0.21321,4.024032349936972,90
0.15,13,0.77295,0.22318,4.625634582158649,387
0.2,13,0.75085,0.23571,5.677027672885759,1344
0.0,14,0.79965,0.20035,3.49738547188683,0
0.05,14,0.79983,0.20012,3.7486143446027085,5
0.1,14,0.79133,0.20787,4.131883690137336,80
0.15,14,0.77493,0.22092,4.764487192428137,415
0.2,14,0.75731,0.22995,5.7862985648201155,1274
0.0,15,0.81237,0.18763,3.5250211031341574,0
0.05,15,0.80707,0.19283,3.824591544368989,10
0.1,15,0.79503,0.20401,4.240264917461616,96
0.15,15,0.78327,0.21346,4.837062685570737,327
0.2,15,0.75899,0.22729,5.947132179432367,1372
0.0,16,0.8113,0.1887,3.659195740256874,0
0.05,16,0.8104,0.18954,3.922184338264094,6
0.1,16,0.79991,0.19926,4.331684882231199,83
0.15,16,0.786,0.21005,4.96583156397573,395
