startingContents,"(1, 1, 1)"
increaseBy,"((3, 1), (2, 2), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.38877,0.46662,2.2747956742447943,0
0.05,5,0.39878,0.45674,2.478658427279256,1
0.1,5,0.4027,0.45252,2.7700754615492422,11
0.15,5,0.40284,0.4503,3.2461979625888184,119
0.2,5,0.40159,0.4445,4.138716728674292,869
0.0,6,0.41964,0.43824,2.722769345905922,0
0.05,6,0.41683,0.44862,2.9219790680998257,0
0.1,6,0.41731,0.44993,3.245497564686794,12
0.15,6,0.41408,0.45262,3.7727552234169384,139
0.2,6,0.4167,0.44049,4.861353159363113,1144
0.0,7,0.41112,0.47177,2.844849628324153,0
0.05,7,0.4161,0.46716,3.131536186439324,0
0.1,7,0.42302,0.45899,3.519749634227093,15
0.15,7,0.42268,0.45529,4.143705222806029,145
0.2,7,0.41583,0.44947,5.421359619376507,1475
0.0,8,0.42937,0.45568,3.16933303074279,0
0.05,8,0.43247,0.45833,3.425227752527658,0
0.1,8,0.42571,0.46546,3.816580108292328,10
0.15,8,0.42469,0.46185,4.502306271171218,163
0.2,8,0.41938,0.45322,5.903924905593341,1684
0.0,9,0.41881,0.48157,3.2893305801303745,0
0.05,9,0.42398,0.47577,3.6122048761832097,0
0.1,9,0.42969,0.47034,4.049525891233847,14
0.15,9,0.42679,0.4659,4.7975774927851065,154
0.2,9,0.41995,0.45804,6.308481666603872,1842
0.0,10,0.43571,0.46622,3.53295603740105,0
0.05,10,0.43546,0.4714,3.8277641038997707,1
0.1,10,0.42968,0.47427,4.286017366692408,13
0.15,10,0.4271,0.47048,5.052573145560962,145
0.2,10,0.4226,0.45855,6.674630928914664,2042
0.0,11,0.42692,0.4863,3.6168738944460475,0
0.05,11,0.43359,0.47982,3.9786413668423792,0
0.1,11,0.43614,0.47598,4.461613189276663,11
0.15,11,0.43381,0.4694,5.304294174025366,203
0.2,11,0.42276,0.46074,7.003725313110881,2234
0.0,12,0.44194,0.47302,3.824489024147638,0
0.05,12,0.43862,0.47967,4.156005974180786,1
0.1,12,0.43982,0.47577,4.646493028769723,7
0.15,12,0.43155,0.47401,5.520609610637565,198
0.2,12,0.42149,0.46611,7.263765498948176,2369
0.0,13,0.43249,0.48919,3.8979325912229505,0
0.05,13,0.44202,0.48025,4.286287167730244,1
0.1,13,0.43747,0.48028,4.823031062000317,11
0.15,13,0.43815,0.47213,5.71154760314406,222
0.2,13,0.42441,0.4667,7.486078883358153,2463
0.0,14,0.44213,0.482,4.072930201165852,0
0.05,14,0.44138,0.48337,4.428837882255603,0
0.1,14,0.43992,0.4818,4.971496092979268,20
0.15,14,0.4371,0.47656,5.872065205033998,208
0.2,14,0.42609,0.46695,7.750672772870257,2671
0.0,15,0.43742,0.49248,4.132333762760222,0
0.05,15,0.43983,0.48892,4.540907688022166,0
0.1,15,0.44332,0.4816,5.119863553322206,19
0.15,15,0.43638,0.47814,6.060213035529812,225
0.2,15,0.42623,0.46663,8.000804733574526,2813
