startingContents,"(1, 1, 1)"
increaseBy,"((3, 3), (1, 1), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.62086,0.19057,2.6059839729453977,0
0.05,5,0.63715,0.18272,2.8040511563138115,1
0.1,5,0.64428,0.17933,3.1382995121220034,16
0.15,5,0.64025,0.17746,3.7988642198167057,206
0.2,5,0.6308,0.17659,5.217982675825246,1810
0.0,6,0.68099,0.15961,2.783638854064191,0
0.05,6,0.68623,0.15682,3.0295270905770866,0
0.1,6,0.68397,0.15745,3.452501961470414,19
0.15,6,0.67386,0.16148,4.233933302827151,257
0.2,6,0.65468,0.15917,6.041213121304795,2590
0.0,7,0.72661,0.13577,2.912440846904141,0
0.05,7,0.71947,0.14031,3.2511488070116896,1
0.1,7,0.70798,0.14659,3.7525640383233028,21
0.15,7,0.69217,0.15174,4.667529152615049,265
0.2,7,0.66582,0.15148,6.855084178060445,3308
0.0,8,0.71765,0.1408,3.323354672495852,0
0.05,8,0.72573,0.13792,3.6169371147210616,0
0.1,8,0.71592,0.14157,4.133876513293839,22
0.15,8,0.70244,0.14767,5.127839297298684,332
0.2,8,0.67382,0.14294,7.605577903942486,4134
0.0,9,0.74735,0.12585,3.4221475792189295,0
0.05,9,0.74601,0.12584,3.7483384304041487,0
0.1,9,0.73586,0.13331,4.302205273057971,13
0.15,9,0.71397,0.14176,5.389672634910846,351
0.2,9,0.68041,0.13571,8.067983921263812,4695
0.0,10,0.77184,0.11411,3.4955648121281953,0
0.05,10,0.76154,0.12047,3.8955928926973638,3
0.1,10,0.74441,0.12689,4.531399454168583,27
0.15,10,0.71878,0.13799,5.696381435339304,416
0.2,10,0.68524,0.13423,8.51720401300981,5079
0.0,11,0.76985,0.11602,3.7846135213838497,0
0.05,11,0.76982,0.1153,4.140129980048982,1
0.1,11,0.75183,0.12482,4.754792837540352,19
0.15,11,0.72392,0.13692,6.002508040902237,406
0.2,11,0.68692,0.12753,9.055164183941764,5717
0.0,12,0.79014,0.1035,3.841035363322911,0
0.05,12,0.78082,0.10906,4.23771305302039,1
0.1,12,0.75868,0.12091,4.920205670395692,22
0.15,12,0.7314,0.13247,6.174492598684554,401
0.2,12,0.69252,0.12305,9.350709694134741,6014
0.0,13,0.80609,0.09653,3.8872125630657592,0
0.05,13,0.78981,0.10402,4.363940493790219,1
0.1,13,0.768,0.11718,5.0726540752402425,18
0.15,13,0.73244,0.13188,6.440150806960386,436
0.2,13,0.69337,0.12053,9.708511953054554,6433
0.0,14,0.80205,0.09958,4.117158058554302,0
0.05,14,0.7939,0.1018,4.532204023582332,1
0.1,14,0.77169,0.11355,5.219360299881261,27
0.15,14,0.73809,0.12851,6.594988189973163,483
0.2,14,0.69474,0.11768,10.097467120461438,7011
0.0,15,0.81539,0.09313,4.1620476025561794,0
0.05,15,0.80271,0.09853,4.601220400461493,1
0.1,15,0.77489,0.11317,5.351990084553554,28
0.15,15,0.74338,0.12382,6.763633543977857,532
0.2,15,0.69913,0.11447,10.304995611775318,7246
0.0,16,0.82578,0.0869,4.1959818218652725,0
0.05,16,0.81006,0.09422,4.693152074226643,0
0.1,16,0.78079,0.10888,5.45950489993721,23
0.15,16,0.74395,0.12505,6.942829352049217,549
0.2,16,0.7,0.11213,10.565347577347689,7626
0.0,17,0.82682,0.08602,4.3679985025170485,0
0.05,17,0.81281,0.09393,4.814442901670103,1
0.1,17,0.78225,0.10868,5.593480893689844,19
0.15,17,0.74584,0.12427,7.091615602483665,553
0.2,17,0.70028,0.11141,10.80705670236513,7906
0.0,18,0.83604,0.08089,4.40083314882671,0
0.05,18,0.81692,0.09203,4.878945481101496,1
0.1,18,0.78868,0.10503,5.674166337078762,23
0.15,18,0.74768,0.12169,7.247393947956608,627
0.2,18,0.70137,0.10739,11.074093830367262,8482
0.0,19,0.84518,0.07797,4.428910141843484,0
0.05,19,0.82234,0.08858,4.969630155328133,0
0.1,19,0.79104,0.10478,5.7767198460544895,27
0.15,19,0.74667,0.12304,7.408976259330335,617
0.2,19,0.70034,0.10503,11.354404983524237,8938
0.0,20,0.84226,0.07998,4.588895926874293,0
0.05,20,0.82377,0.08949,5.070955772153798,0
0.1,20,0.79222,0.10406,5.877912501932174,24
0.15,20,0.75278,0.12066,7.461635713767025,631
0.2,20,0.70176,0.10245,11.5164730973274,9122
0.0,21,0.85013,0.07531,4.617179410034173,0
0.05,21,0.82805,0.08594,5.119816934627263,1
0.1,21,0.79336,0.10377,5.972009484671509,27
0.15,21,0.75355,0.11846,7.603438261295541,640
0.2,21,0.70329,0.10156,11.661724830594748,9275
0.0,22,0.8573,0.07136,4.635042239406113,0
0.05,22,0.83273,0.08322,5.185108617697157,1
0.1,22,0.7963,0.10103,6.054114816137021,28
0.15,22,0.75313,0.11952,7.747792255267717,759
0.2,22,0.70243,0.09987,11.964603193189657,9938
0.0,23,0.85841,0.07152,4.760701907642557,0
0.05,23,0.83385,0.08348,5.261591364581845,0
0.1,23,0.79816,0.1006,6.144438559423774,28
0.15,23,0.75424,0.12022,7.843551051508165,724
0.2,23,0.69992,0.09768,12.20186686475682,10346
0.0,24,0.86362,0.06853,4.788694668178515,0
0.05,24,0.83827,0.08089,5.3069382205192825,0
0.1,24,0.80161,0.09909,6.196645799549225,23
0.15,24,0.75521,0.11732,7.951023997580928,786
0.2,24,0.70037,0.09585,12.345386688308665,10506
0.0,25,0.86703,0.06625,4.803743956141003,0
0.05,25,0.83989,0.07978,5.38485779679753,2
0.1,25,0.80303,0.09907,6.278669506835886,21
0.15,25,0.75576,0.11905,8.050056973151985,811
0.2,25,0.70313,0.09466,12.472605524270385,10793
0.0,26,0.86739,0.06569,4.918577449898239,0
0.05,26,0.84053,0.07887,5.468499224693445,1
0.1,26,0.80417,0.09737,6.350756777451581,22
0.15,26,0.75378,0.11976,8.168279832192258,833
0.2,26,0.70451,0.0913,12.612301164415706,11181
0.0,27,0.87213,0.06298,4.930719622429545,0
0.05,27,0.84433,0.07733,5.4949269681698505,0
0.1,27,0.80573,0.09655,6.427041451288902,24
0.15,27,0.75631,0.11799,8.230938597888525,840
0.2,27,0.7055,0.09085,12.741168715795382,11420
0.0,28,0.87683,0.06081,4.947218105232256,0
0.05,28,0.84766,0.07701,5.548050143575918,0
0.1,28,0.80687,0.09585,6.493745483465419,20
0.15,28,0.75837,0.11641,8.305446155141937,826
0.2,28,0.70281,0.08965,12.973155877243874,11752
0.0,29,0.87772,0.06075,5.051161384299759,0
0.05,29,0.84936,0.0758,5.600381748157243,1
0.1,29,0.8095,0.09486,6.542103809090546,28
0.15,29,0.75818,0.11755,8.408449652771035,929
0.2,29,0.70414,0.08876,13.093568163859171,12101
0.0,30,0.88054,0.05958,5.07003731586909,0
0.05,30,0.8509,0.075,5.648024070985356,0
0.1,30,0.80719,0.09634,6.623045536590149,27
0.15,30,0.75854,0.11611,8.48626362078656,921
0.2,30,0.70411,0.08492,13.250077414393989,12392
0.0,31,0.88481,0.05798,5.07591995451601,0
0.05,31,0.85163,0.07275,5.697404072609075,0
0.1,31,0.81103,0.09533,6.657901006670007,33
0.15,31,0.75741,0.11821,8.605307192733791,978
0.2,31,0.70558,0.08414,13.344485598198817,12579
0.0,32,0.88496,0.05663,5.172157059464911,0
0.05,32,0.85263,0.07471,5.753396102690718,0
0.1,32,0.81026,0.09483,6.723700924756112,20
0.15,32,0.76075,0.11375,8.618389909345742,1004
0.2,32,0.70616,0.08343,13.411282269610256,12656
0.0,33,0.88732,0.05758,5.174455255657081,0
0.05,33,0.85637,0.07262,5.775599981673913,2
0.1,33,0.81031,0.09416,6.794197729594817,27
0.15,33,0.7597,0.11467,8.69642148948997,958
0.2,33,0.7053,0.08296,13.60060128008894,13097
0.0,34,0.89298,0.05406,5.192950260368371,0
0.05,34,0.8576,0.07084,5.829317936424594,1
0.1,34,0.81185,0.09266,6.829500367516978,29
0.15,34,0.75867,0.11572,8.821417508089185,1100
0.2,34,0.70665,0.07936,13.662465160910712,13224
0.0,35,0.89304,0.05299,5.272487857376165,0
0.05,35,0.85717,0.07147,5.883266508084732,1
0.1,35,0.81141,0.09419,6.900492893919638,28
0.15,35,0.75773,0.11513,8.907618948369777,1107
0.2,35,0.70467,0.07987,13.866153841328433,13659
0.0,36,0.89521,0.05345,5.287524722148448,0
0.05,36,0.86103,0.06863,5.896217744191682,0
0.1,36,0.81203,0.09378,6.958764915867762,25
0.15,36,0.76107,0.11384,8.94484296020112,1124
0.2,36,0.70616,0.07717,13.98792716732211,14034
0.0,37,0.89895,0.05057,5.285290089294395,0
0.05,37,0.85926,0.07115,5.95820068610421,1
0.1,37,0.81405,0.09239,6.987995328912206,25
0.15,37,0.76087,0.11236,9.017356940989991,1169
0.2,37,0.7031,0.07716,14.219632055725258,14438
0.0,38,0.8973,0.05172,5.386512577921938,0
0.05,38,0.8601,0.07006,5.99466212994889,0
0.1,38,0.81515,0.09224,7.029474414987038,32
0.15,38,0.76263,0.11224,9.032806510765253,1135
0.2,38,0.70465,0.07465,14.250829523407658,14551
0.0,39,0.89936,0.0506,5.383290040016915,0
0.05,39,0.86221,0.06816,6.028408880057526,0
0.1,39,0.81429,0.09309,7.076306227044944,38
