startingContents,"(1, 1, 1)"
increaseBy,"((3, 1), (2, 2), (1, 1))"
Iterations,10

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.4,0.4,2.3748809523809524,0
0.05,5,0.6,0.4,2.4273809523809526,0
0.1,5,0.4,0.5,2.2676190476190476,0
0.15,5,0.5,0.4,2.7747619047619048,0
0.2,5,0.2,0.5,4.097261904761905,0
0.0,6,0.2,0.7,2.793961038961039,0
0.05,6,0.5,0.3,2.768008658008658,0
0.1,6,0.7,0.3,3.2808333333333337,0
0.15,6,0.2,0.7,2.940833333333333,0
0.2,6,0.6,0.2,4.742142857142857,0
0.0,7,0.4,0.2,3.0052522477522476,0
0.05,7,0.3,0.5,3.3903679653679655,0
0.1,7,0.6,0.4,2.734415584415584,0
0.15,7,0.2,0.6,4.643715451215451,0
0.2,7,0.3,0.5,4.274761904761904,0
0.0,8,0.3,0.5,3.329951977846715,0
0.05,8,0.5,0.4,2.9834557109557105,0
0.1,8,0.6,0.3,4.561302031302032,0
0.15,8,0.5,0.2,4.430839129910337,0
0.2,8,0.6,0.4,4.748116883116883,0
0.0,9,0.1,0.7,3.398421162171162,0
0.05,9,0.4,0.4,3.8048486072750776,0
0.1,9,0.4,0.5,4.07071630510872,0
0.15,9,0.4,0.5,3.80553999921647,0
0.2,9,0.3,0.7,4.03978687978688,0
0.0,10,0.8,0.1,3.2674643248907955,0
0.05,10,0.6,0.4,3.898939810189809,0
0.1,10,0.6,0.3,4.616075266322944,0
0.15,10,0.6,0.4,4.535124011695219,0
0.2,10,0.1,0.8,5.712795537795538,0
0.0,11,0.3,0.5,3.4763278078990156,0
0.05,11,0.5,0.2,4.323162871700022,0
0.1,11,0.6,0.4,4.392018226871168,0
0.15,11,0.2,0.5,5.502798990225461,0
0.2,11,0.5,0.5,5.387979765332707,0
0.0,12,0.5,0.5,3.4041212464006585,0
0.05,12,0.5,0.3,4.578316949181299,0
0.1,12,0.3,0.6,4.359539673610955,0
0.15,12,0.3,0.7,4.95120293277414,0
0.2,12,0.2,0.6,5.914477311903783,0
0.0,13,0.5,0.5,4.3708548225753105,0
0.05,13,0.2,0.5,4.409119935791763,0
0.1,13,0.4,0.6,4.582708076237488,0
0.15,13,0.8,0.2,4.570467418288626,0
0.2,13,0.4,0.6,5.018618464868465,0
0.0,14,0.5,0.5,4.301606325921706,0
0.05,14,0.3,0.6,4.86093896655012,0
0.1,14,0.3,0.7,4.815478218443288,0
0.15,14,0.4,0.6,5.861966916860679,0
0.2,14,0.5,0.4,5.544751926350223,0
0.0,15,0.3,0.7,3.9217169149705833,0
0.05,15,0.5,0.5,3.9442536393588012,0
0.1,15,0.5,0.4,5.5651151568575425,0
0.15,15,0.4,0.4,7.528727747537135,0
0.2,15,0.5,0.4,6.247206945598486,0
0.0,16,0.3,0.7,4.1193786374929875,0
0.05,16,0.5,0.3,5.06595496577664,0
0.1,16,0.4,0.6,4.586770477378911,0
0.15,16,0.2,0.7,5.219941816439493,0
0.2,16,0.6,0.3,7.86273996780653,0
0.0,17,0.2,0.7,4.54291154574704,0
0.05,17,0.4,0.6,4.370075261058868,0
0.1,17,0.3,0.6,5.348523381337697,0
0.15,17,0.6,0.4,5.530970335058638,0
0.2,17,0.4,0.5,9.66460127461457,1
0.0,18,0.5,0.5,4.412686709505994,0
0.05,18,0.2,0.8,4.414664814870597,0
0.1,18,0.8,0.2,5.236687108505575,0
0.15,18,0.3,0.6,6.704620693234167,0
0.2,18,0.4,0.5,9.388923671466424,2
0.0,19,0.4,0.6,4.190018840494325,0
0.05,19,0.9,0.1,5.213811513569848,0
0.1,19,0.5,0.4,5.626749658238084,0
0.15,19,0.5,0.4,6.777045851795376,0
0.2,19,0.3,0.7,6.925018378542727,0
0.0,20,0.5,0.4,4.8046274296852385,0
0.05,20,0.5,0.4,6.1002145434860395,0
0.1,20,0.4,0.5,5.6902613618105615,0
0.15,20,0.4,0.6,6.647645712335345,0
0.2,20,0.3,0.7,7.048532174857025,0
0.0,21,0.2,0.7,4.754245331305401,0
0.05,21,0.4,0.5,5.070243988150915,0
0.1,21,0.6,0.4,6.516717186696203,0
0.15,21,0.5,0.3,8.261368986555958,0
0.2,21,0.3,0.6,9.029003686131382,1
0.0,22,0.6,0.2,5.0958983273318,0
0.05,22,0.6,0.4,5.013918740574263,0
0.1,22,0.8,0.2,5.3698410399844025,0
0.15,22,0.3,0.6,6.325899035573109,0
0.2,22,0.2,0.7,9.388386119285304,2
0.0,23,0.5,0.5,4.6552368637032036,0
0.05,23,0.5,0.5,5.2639628992703145,0
0.1,23,0.3,0.6,5.554859469142281,0
0.15,23,0.4,0.6,6.278052684519848,1
0.2,23,0.5,0.5,7.059686732699194,0
0.0,24,0.4,0.6,5.024866423435249,0
0.05,24,0.4,0.5,5.6257672496503,0
0.1,24,0.4,0.4,7.881951083997222,0
0.15,24,0.7,0.2,6.492315788329404,0
0.2,24,0.7,0.3,6.48717142519533,0
0.0,25,0.2,0.8,5.028449243687669,0
0.05,25,0.7,0.2,5.731717224307203,0
0.1,25,0.3,0.6,6.138186333840219,0
0.15,25,0.5,0.4,6.80133481057675,0
0.2,25,0.5,0.4,11.925270065051274,1
0.0,30,0.7,0.2,6.274338894391596,0
0.05,30,0.6,0.4,5.48446042655368,0
0.1,30,0.4,0.5,5.7591490818874576,0
0.15,30,0.7,0.3,6.466941148687701,0
0.2,30,0.4,0.6,8.092399116878518,1
0.0,35,0.6,0.3,5.5939905435244315,0
0.05,35,0.4,0.4,6.851553199635407,0
0.1,35,0.4,0.6,7.206436079638861,0
0.15,35,0.5,0.3,9.215207346862377,0
0.2,35,0.2,0.7,9.252608851373598,0
0.0,40,0.4,0.6,5.702681496217368,0
0.05,40,0.4,0.5,7.6690285737343205,0
0.1,40,0.5,0.5,5.750212065937588,0
0.15,40,0.5,0.4,8.386040920451986,0
0.2,40,0.4,0.5,10.655318685244477,0
0.0,45,0.5,0.5,5.791080643094947,0
0.05,45,0.7,0.3,6.605600793906771,0
0.1,45,0.6,0.4,7.025784790139528,0
0.15,45,0.1,0.8,7.934762922313792,0
0.2,45,0.6,0.3,11.44590242215576,0
0.0,50,0.4,0.6,6.2087889970568595,0
0.05,50,0.6,0.4,6.231709526054905,0
0.1,50,0.8,0.1,7.982837799988228,0
0.15,50,0.2,0.8,7.266246492330316,0
0.2,50,0.8,0.2,8.429395869671401,0
0.0,55,0.6,0.4,6.320449095176889,0
0.05,55,0.6,0.3,7.578026640900828,0
0.1,55,0.5,0.2,9.816087251838617,0
0.15,55,0.3,0.7,8.046553297519154,0
0.2,55,0.2,0.7,9.522298534773968,0
0.0,60,0.6,0.4,6.019071865312069,0
0.05,60,0.3,0.7,6.6016369575106895,0
0.1,60,0.3,0.7,7.703834378101931,0
0.15,60,0.4,0.5,8.759496331576218,0
0.2,60,0.5,0.5,10.807525259699498,0
0.0,65,0.4,0.6,6.744098041955899,0
0.05,65,0.4,0.6,7.29236457498406,0
0.1,65,0.4,0.2,9.791994691932226,0
0.15,65,0.6,0.4,8.24997013490895,0
0.2,65,0.3,0.7,9.646980179420057,3
0.0,70,0.5,0.5,6.528207306110154,0
0.05,70,0.3,0.7,6.654155048681801,0
0.1,70,0.5,0.4,9.148440745274595,0
0.15,70,0.3,0.7,8.524775414133344,0
0.2,70,0.6,0.4,10.347453569947826,0
0.0,75,0.4,0.6,6.340139962068392,0
0.05,75,0.3,0.7,6.779711990104687,0
0.1,75,0.8,0.2,8.04248719486645,0
0.15,75,0.7,0.3,8.038508893236061,0
0.2,75,0.6,0.4,10.495300551951235,0
0.0,80,0.3,0.7,6.885072593776917,0
0.05,80,0.1,0.9,7.539276880198649,0
0.1,80,0.4,0.5,8.271706099978491,0
0.15,80,0.6,0.3,10.995663353500849,0
0.2,80,0.3,0.7,10.081339519760784,0
0.0,90,0.1,0.8,7.262314761362219,0
0.05,90,0.6,0.4,7.442060108914719,0
0.1,90,0.4,0.6,8.27129088534404,0
0.15,90,0.6,0.4,10.782749362352579,0
0.2,90,0.7,0.3,10.944626556422286,1
0.0,100,0.3,0.7,7.359861680684309,0
0.05,100,0.3,0.5,8.85576933414051,0
0.1,100,0.5,0.4,9.171893428873329,0
0.15,100,0.4,0.6,9.331923321613365,0
0.2,100,0.3,0.7,11.228578826537793,2
0.0,110,0.6,0.4,6.840495811779341,0
0.05,110,0.3,0.6,8.641491414249542,0
0.1,110,0.6,0.4,10.275747138557529,0
0.15,110,0.5,0.5,9.594118990644539,0
0.2,110,0.2,0.8,10.764740439390128,0
0.0,120,0.4,0.6,7.13566223928377,0
0.05,120,0.6,0.4,7.835429872509176,0
0.1,120,0.6,0.4,9.079302510181387,0
0.15,120,0.5,0.5,9.050070331370442,0
0.2,120,0.6,0.4,10.156422286740199,0
0.0,130,0.4,0.6,7.008544189584197,0
0.05,130,0.6,0.3,8.359543278136755,0
0.1,130,0.8,0.2,9.177381076379907,0
0.15,130,0.9,0.1,9.558660195482153,0
0.2,130,0.4,0.6,10.13403163511952,1
0.0,140,0.3,0.7,7.633253450655661,0
0.05,140,0.5,0.5,8.246465162343753,0
0.1,140,0.5,0.4,10.31785219481841,0
0.15,140,0.4,0.5,10.502198989851212,0
0.2,140,0.4,0.6,10.699981594354572,2
0.0,150,0.5,0.4,8.969268710364023,0
0.05,150,0.7,0.3,8.373821124229156,0
0.1,150,0.5,0.4,9.820706498011356,0
0.15,150,0.1,0.9,9.329128360005667,1
0.2,150,0.4,0.6,11.584037512954874,1
0.0,160,0.6,0.4,7.086434382907884,0
0.05,160,0.0,1.0,8.519441274996993,0
0.1,160,0.5,0.5,10.674836123476519,0
0.15,160,0.3,0.7,10.483464693250871,1
0.2,160,0.2,0.8,10.718981348290113,0
0.0,170,0.6,0.4,8.013931185270623,0
0.05,170,0.4,0.6,8.167185107308933,0
0.1,170,0.4,0.6,9.79123257659664,0
0.15,170,0.6,0.4,9.816393131017957,1
0.2,170,0.6,0.4,12.157809175723077,0
0.0,180,0.6,0.4,8.036734586541762,0
0.05,180,0.7,0.3,8.28369117778546,0
