startingContents,"(1, 1, 1)"
increaseBy,"((3, 1), (2, 2), (1, 1))"
Iterations,10000
shareFirstAttribute,"0.5"

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.3853,0.4662,2.2905449783548355,0
0.05,5,0.3967,0.4592,2.4774498012570394,1
0.1,5,0.4008,0.4554,2.76730033549769,0
0.15,5,0.3951,0.4567,3.2114533383073707,9
0.2,5,0.4058,0.4506,3.841044725166446,109
0.0,6,0.4084,0.4463,2.7252892798866313,0
0.05,6,0.4087,0.4595,2.920464098401496,0
0.1,6,0.4183,0.4458,3.2478721611720722,0
0.15,6,0.4132,0.4523,3.724238201702045,16
0.2,6,0.4144,0.4569,4.386018558643982,145
0.0,7,0.4111,0.474,2.85285262489949,0
0.05,7,0.4171,0.4643,3.112441719089638,0
0.1,7,0.4276,0.459,3.4854868899627913,2
0.15,7,0.4126,0.4649,4.106888652728775,19
0.2,7,0.4138,0.4707,4.883243235009306,172
0.0,8,0.4275,0.457,3.1691101744977157,0
0.05,8,0.433,0.4558,3.445998355060762,0
0.1,8,0.429,0.4619,3.8046348002332917,1
0.15,8,0.423,0.4647,4.4446547322184475,15
0.2,8,0.4264,0.473,5.227737685799637,213
0.0,9,0.4178,0.4864,3.287583987258347,0
0.05,9,0.427,0.4735,3.6129717746013688,0
0.1,9,0.426,0.4773,4.070580105518447,1
0.15,9,0.4147,0.4783,4.729596554262297,24
0.2,9,0.425,0.477,5.570409030496537,274
0.0,10,0.4435,0.4582,3.5248608675218187,0
0.05,10,0.4339,0.474,3.8253135321691873,0
0.1,10,0.43,0.4742,4.285077661777471,2
0.15,10,0.4251,0.4725,5.01105342228501,30
0.2,10,0.418,0.4924,5.852538732326612,280
0.0,11,0.4304,0.4827,3.6105586366385936,0
0.05,11,0.4426,0.4728,3.9890975226116323,0
0.1,11,0.4296,0.4818,4.465302402074493,1
0.15,11,0.4305,0.473,5.251433193798537,41
0.2,11,0.4259,0.4922,6.11350266643836,319
0.0,12,0.4339,0.4759,3.8422833509401726,0
0.05,12,0.4295,0.4896,4.149669656814733,0
0.1,12,0.4314,0.4825,4.649079662830881,2
0.15,12,0.4304,0.4799,5.387198926333955,38
0.2,12,0.4241,0.4986,6.334821980178715,323
0.0,13,0.4355,0.4891,3.898470799175954,0
0.05,13,0.4406,0.4774,4.298307122350217,0
0.1,13,0.4414,0.4807,4.79869407815803,0
0.15,13,0.4378,0.478,5.607622345799385,43
0.2,13,0.439,0.4865,6.512357955668949,335
0.0,14,0.446,0.4767,4.074021546523281,0
0.05,14,0.4364,0.4861,4.459322746864871,0
0.1,14,0.4434,0.4824,4.949904657287469,0
0.15,14,0.433,0.4843,5.766628562923834,38
0.2,14,0.424,0.5057,6.719000936190366,384
0.0,15,0.4392,0.4879,4.13612270845753,0
0.05,15,0.4416,0.4861,4.555164192265791,0
0.1,15,0.445,0.4801,5.09666232816221,1
0.15,15,0.4296,0.4907,5.9771298384533775,43
0.2,15,0.4249,0.5066,6.919025241630002,411
0.0,16,0.4503,0.4785,4.288143398051244,0
0.05,16,0.4511,0.478,4.673157242552232,0
0.1,16,0.447,0.4813,5.259717943369496,3
0.15,16,0.4293,0.4945,6.102203414849421,54
0.2,16,0.4324,0.5037,7.076198279505265,396
0.0,17,0.4458,0.49,4.3462862053207285,0
0.05,17,0.4439,0.4909,4.7502406546871,0
0.1,17,0.4374,0.4932,5.340623985281856,1
0.15,17,0.4373,0.486,6.23325726186847,50
