startingContents,"(1, 1, 1)"
increaseBy,"((2, 2), (2, 2), (1, 1))"
Iterations,20000
shareFirstAttribute,"1"

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,5,0.4308,0.4371,2.1651394047613866,0
0.05,5,0.4338,0.43935,2.37463398809481,0
0.1,5,0.43435,0.43535,2.6311821665020765,3
0.15,5,0.4329,0.4312,3.0350114371489147,15
0.2,5,0.4268,0.43935,3.6446211210196675,161
0.0,6,0.42985,0.43365,2.7109481177156374,0
0.05,6,0.4349,0.4356,2.886576477689009,0
0.1,6,0.43625,0.4401,3.1742115620153544,2
0.15,6,0.43525,0.4413,3.6232514840715258,21
0.2,6,0.43875,0.44285,4.2775445756246455,233
0.0,7,0.45035,0.4433,2.756973551656676,0
0.05,7,0.44835,0.44445,3.056741375120062,0
0.1,7,0.44595,0.4453,3.427367736909077,4
0.15,7,0.44355,0.44595,3.966594325147784,29
0.2,7,0.44015,0.4528,4.703731083391641,329
0.0,8,0.4454,0.4437,3.161473991545387,0
0.05,8,0.441,0.4571,3.3806214596042126,0
0.1,8,0.43955,0.45805,3.745580847425888,1
0.15,8,0.4464,0.44955,4.3066413674416415,32
0.2,8,0.44255,0.4592,5.127365069192882,387
0.0,9,0.4519,0.45965,3.193708211773652,0
0.05,9,0.4408,0.4622,3.5260067322667745,0
0.1,9,0.45455,0.4541,3.9419609463434586,0
0.15,9,0.4526,0.4506,4.561331684664406,39
0.2,9,0.4394,0.4678,5.463639551584456,434
0.0,10,0.4529,0.4571,3.5112700759487145,0
0.05,10,0.4534,0.4601,3.7748740847197637,0
0.1,10,0.45655,0.45615,4.194473000201055,0
0.15,10,0.453,0.4562,4.844924905854699,57
0.2,10,0.4438,0.4749,5.66360601764434,500
0.0,11,0.4608,0.4639,3.5311773872351506,0
0.05,11,0.4599,0.46065,3.8843246055454257,0
0.1,11,0.464,0.4569,4.364878335893408,1
0.15,11,0.4537,0.4616,5.060691684637278,43
0.2,11,0.448,0.47225,5.951283883102599,586
0.0,12,0.46165,0.45725,3.808957762481196,0
0.05,12,0.46265,0.4626,4.100410222729764,0
0.1,12,0.4624,0.4613,4.548882800101121,0
0.15,12,0.4592,0.46005,5.281016283618176,36
0.2,12,0.44805,0.4737,6.198670590947507,572
0.0,13,0.46795,0.46235,3.820102242664186,0
0.05,13,0.457,0.4693,4.217103899760612,0
0.1,13,0.4686,0.45805,4.7175786557568165,1
0.15,13,0.4592,0.46035,5.4764618713000015,64
0.2,13,0.4501,0.479,6.401133230469108,553
0.0,14,0.46575,0.46445,4.039135169637311,0
0.05,14,0.4659,0.4654,4.363795146539115,0
0.1,14,0.47145,0.4624,4.860442405381379,4
0.15,14,0.46085,0.46065,5.654550666048752,45
0.2,14,0.4497,0.4864,6.562988947681062,645
0.0,15,0.4692,0.466,4.06997835841906,0
0.05,15,0.4678,0.47015,4.466342321392189,0
0.1,15,0.4651,0.4674,5.005303222106787,1
0.15,15,0.45665,0.47215,5.785855998090848,73
0.2,15,0.4544,0.482,6.71895859137233,685
0.0,16,0.4611,0.47795,4.2463027085164,0
0.05,16,0.47065,0.4678,4.6032021116445705,0
0.1,16,0.46905,0.4663,5.130371083348297,1
0.15,16,0.45615,0.4734,5.948755673479505,63
0.2,16,0.44925,0.4874,6.902006293767815,696
0.0,17,0.48005,0.46665,4.248610764674579,0
0.05,17,0.46515,0.47915,4.688458503805256,0
0.1,17,0.46425,0.4762,5.236791440520827,3
0.15,17,0.4578,0.47245,6.091593731262519,61
0.2,17,0.456,0.4872,7.025015401042349,735
0.0,18,0.46525,0.47775,4.420109742304293,0
0.05,18,0.48185,0.4628,4.787073869411874,0
0.1,18,0.4711,0.4702,5.36444990008778,2
0.15,18,0.46225,0.4693,6.220875726923931,81
0.2,18,0.4629,0.4826,7.181978047202816,712
0.0,19,0.4763,0.4698,4.443269590560617,0
0.05,19,0.4761,0.47155,4.873070960016779,0
0.1,19,0.47195,0.46735,5.473085603582664,2
0.15,19,0.46875,0.46715,6.344185208549323,93
0.2,19,0.45815,0.49085,7.255641133528194,798
0.0,20,0.474,0.47525,4.586527209748964,0
0.05,20,0.4736,0.4777,4.961829400482756,1
0.1,20,0.46905,0.47635,5.556431799367671,1
0.15,20,0.4691,0.46825,6.447177076291896,96
0.2,20,0.4536,0.49465,7.404974077049936,824
0.0,21,0.478,0.4728,4.595025757327654,0
0.05,21,0.48185,0.4689,5.054691110273107,0
0.1,21,0.47495,0.47215,5.65506099660503,7
0.15,21,0.4677,0.46685,6.586563865013555,81
0.2,21,0.45285,0.4985,7.5146190545560785,819
0.0,22,0.4783,0.4762,4.7309391554060385,0
0.05,22,0.47835,0.47195,5.156421912701223,0
0.1,22,0.47615,0.4711,5.756170704456264,5
0.15,22,0.47205,0.4665,6.66651871959885,93
0.2,22,0.4597,0.49665,7.590639690685915,902
0.0,23,0.47895,0.4785,4.737515163398892,0
0.05,23,0.47425,0.4778,5.216403069236688,0
0.1,23,0.47205,0.4758,5.847840081998785,5
0.15,23,0.46925,0.46875,6.7637479645079,82
0.2,23,0.4547,0.50245,7.681103813420364,887
0.0,24,0.4773,0.47835,4.87452663579083,0
0.05,24,0.47995,0.4759,5.278339971407199,0
0.1,24,0.4817,0.4706,5.917219122330525,5
0.15,24,0.4704,0.471,6.8672692098219095,106
0.2,24,0.45785,0.49805,7.803565856263987,910
0.0,25,0.4795,0.47845,4.88043163295255,0
0.05,25,0.4778,0.48105,5.338104197269144,0
0.1,25,0.47965,0.4704,6.00562920132387,1
0.15,25,0.47525,0.47,6.9214711814058365,126
0.2,25,0.4572,0.5021,7.873716474275913,964
0.0,30,0.48565,0.4798,5.215750690966699,0
0.05,30,0.47325,0.48755,5.677173188432763,0
0.1,30,0.4802,0.47325,6.371444965092668,4
0.15,30,0.47355,0.47145,7.341831506242688,140
0.2,30,0.45615,0.51,8.272635619220162,1034
0.0,35,0.48175,0.4862,5.413683900848959,0
0.05,35,0.48235,0.48285,5.940487997128234,0
0.1,35,0.47455,0.48585,6.643429500409325,3
0.15,35,0.4709,0.4814,7.668946575391473,152
0.2,35,0.45525,0.51665,8.565038517581504,1089
0.0,40,0.48205,0.4907,5.646410193759274,0
0.05,40,0.4825,0.48865,6.147440558724657,0
0.1,40,0.48195,0.4812,6.891378241272289,7
0.15,40,0.47225,0.48135,7.922792667628719,160
0.2,40,0.46385,0.51485,8.805025751330774,1242
0.0,45,0.4853,0.49055,5.799417022529126,0
0.05,45,0.4857,0.48675,6.355767177669083,1
0.1,45,0.48645,0.47885,7.104382450341861,2
0.15,45,0.472,0.4852,8.159827780576366,215
0.2,45,0.4557,0.5267,9.030589884322064,1281
0.0,50,0.4888,0.48775,6.0036518097260565,0
