probPopping,Threshold,ShareOptimal,Time,NoResolution
0,5,0.24264,1.923210667,0
0.05,5,0.26317,2.210617381,0
0.1,5,0.29274,2.737326399,10
0.15,5,0.32709,3.74033416,675
0.2,5,0.35039,5.095192166,5964
0,6,0.25196,2.655487889,0
0.05,6,0.30623,3.106127998,1
0.1,6,0.35199,3.893955216,24
0.15,6,0.39656,5.316686462,1454
0.2,6,0.41976,6.895134953,11357
0,7,0.32955,3.104068538,0
0.05,7,0.36711,3.715824722,0
0.1,7,0.40597,4.720294982,55
0.15,7,0.44558,6.442156873,2380
0.2,7,0.45628,8.010087544,17454
0,8,0.32912,3.641391545,0
0.05,8,0.38918,4.287364463,0
0.1,8,0.4393,5.437089781,65
0.15,8,0.47206,7.373598771,3690
0.2,8,0.47443,8.839533897,23010
0,9,0.38431,3.947686005,0
0.05,9,0.42311,4.692954628,1
0.1,9,0.46649,5.999379842,81
0.15,9,0.49586,8.112542439,4793
0.2,9,0.49078,9.453851576,26739
0,10,0.38583,4.370916792,0
0.05,10,0.44036,5.149944598,0
0.1,10,0.48865,6.540582991,111
0.15,10,0.51543,8.736060683,5853
0.2,10,0.49699,9.926762662,30416
0,11,0.42435,4.602299408,0
0.05,11,0.46711,5.491637315,0
0.1,11,0.51036,6.995220254,144
0.15,11,0.53039,9.272777262,6840
0.2,11,0.50628,10.30298155,32748
0,12,0.42439,4.955339002,0
0.05,12,0.48357,5.839559273,0
0.1,12,0.52886,7.408733251,176
0.15,12,0.54291,9.720969124,7445
0.2,12,0.5122,10.61582792,34974
0,13,0.45766,5.133151368,0
0.05,13,0.50158,6.117787597,0
0.1,13,0.54231,7.792313513,207
0.15,13,0.55049,10.16534187,8560
0.2,13,0.51803,10.86853029,36664
0,14,0.45991,5.430818373,0
0.05,14,0.5158,6.40173278,0
0.1,14,0.54976,8.157233374,220
0.15,14,0.55936,10.48528428,9527
0.2,14,0.51949,11.11072829,38562
0,15,0.48699,5.579225304,0
0.05,15,0.52947,6.638299539,0
0.1,15,0.56382,8.473469902,276
0.15,15,0.56836,10.77881525,10431
0.2,15,0.52337,11.29412632,39602
0,16,0.48244,5.842010262,0
0.05,16,0.54219,6.881702129,1
0.1,16,0.57201,8.752718103,285
0.15,16,0.57615,11.03917529,11163
0.2,16,0.52679,11.49331962,40333
0,17,0.50981,5.959174988,0
0.05,17,0.55261,7.08682663,1
0.1,17,0.57972,9.008406092,361
0.15,17,0.57947,11.32699927,12031
0.2,17,0.52457,11.68243667,41726
0,18,0.50634,6.196718515,0
0.05,18,0.56344,7.292378869,0
0.1,18,0.59191,9.242553904,399
0.15,18,0.58431,11.52573469,12971
0.2,18,0.52629,11.81061943,42443
0,19,0.53033,6.294202156,0
0.05,19,0.57257,7.471225706,0
0.1,19,0.60085,9.481608311,416
0.15,19,0.58814,11.72514261,13999
0.2,19,0.5285,11.94450887,43055
0,20,0.5284,6.504929843,0
0.05,20,0.57825,7.667856639,0
0.1,20,0.60426,9.713882078,459
0.15,20,0.59495,11.87535055,14504
0.2,20,0.52823,12.08894556,43662
0,21,0.54638,6.59206373,0
0.05,21,0.58705,7.835691065,0
0.1,21,0.61028,9.92252842,540
0.15,21,0.59705,12.04472745,15297
0.2,21,0.52828,12.20840213,44163
0,22,0.5465,6.782804191,0
0.05,22,0.59284,7.996034118,2
0.1,22,0.62031,10.10139699,559
0.15,22,0.59996,12.19184836,16074
0.2,22,0.5287,12.32674543,44604
0,23,0.564,6.855985221,0
0.05,23,0.6034,8.136124434,1
0.1,23,0.62269,10.30438128,599
0.15,23,0.60395,12.30775176,16970
0.2,23,0.52767,12.46981833,45117
0,24,0.56269,7.028538119,0
0.05,24,0.60888,8.28571745,1
0.1,24,0.62699,10.48164461,668
0.15,24,0.60477,12.40378633,17666
0.2,24,0.53206,12.62092681,44945
0,25,0.5799,7.094427093,0
0.05,25,0.6177,8.410944284,0
0.1,25,0.63145,10.63553029,718
0.15,25,0.60767,12.53093188,18404
0.2,25,0.52829,12.70488275,45665
0,30,0.60447,7.65944469,0
0.05,30,0.64267,9.019003459,0
0.1,30,0.65105,11.34348503,1022
0.15,30,0.61654,12.90134418,21747
0.2,30,0.5276,13.27414414,46559
0,35,0.63274,8.04578916,0
0.05,35,0.66347,9.5222794,1
0.1,35,0.66509,11.91728608,1429
0.15,35,0.62027,13.18281586,24961
0.2,35,0.52596,13.74511705,47130
0,40,0.64885,8.440032872,0
0.05,40,0.67816,9.952927271,3
0.1,40,0.67318,12.41723645,1849
0.15,40,0.62454,13.34518986,27257
0.2,40,0.52533,14.19644003,47340
0,45,0.66922,8.734736241,0
0.05,45,0.69208,10.32171813,3
0.1,45,0.68163,12.81922777,2283
0.15,45,0.62443,13.47984679,29607
0.2,45,0.52178,14.5506893,47782
0,50,0.67888,9.053169696,0
0.05,50,0.70607,10.63915467,2
0.1,50,0.69093,13.14715235,2971
0.15,50,0.62798,13.59123901,31163
0.2,50,0.52012,14.88969339,47978
0,55,0.69864,9.271465772,0
0.05,55,0.7146,10.93876842,7
0.1,55,0.69622,13.44362919,3423
0.15,55,0.62701,13.66412271,32865
0.2,55,0.51737,15.21944116,48256
0,60,0.70826,9.511042252,0
0.05,60,0.72445,11.20968293,7
0.1,60,0.70154,13.68308005,4024
0.15,60,0.62621,13.78395739,34138
0.2,60,0.51649,15.50069039,48350
0,65,0.71985,9.699450182,0
0.05,65,0.73524,11.4135037,6
0.1,65,0.70682,13.86988702,4768
0.15,65,0.63035,13.91680332,34591
0.2,65,0.51654,15.76807393,48346
0,70,0.72606,9.915830726,0
0.05,70,0.73682,11.66906758,16
0.1,70,0.70849,14.09706666,5511
0.15,70,0.62604,14.02715599,35619
0.2,70,0.51424,16.00130059,48575
0,75,0.7353,10.06551286,0
0.05,75,0.74321,11.8567256,15
0.1,75,0.70975,14.26012098,6332
0.15,75,0.62771,14.14735934,35996
0.2,75,0.5116,16.23514234,48840
0,80,0.74082,10.25790653,0
0.05,80,0.75064,12.04539463,13
0.1,80,0.71402,14.40688979,7073
0.15,80,0.62866,14.29986322,36288
0.2,80,0.50772,16.42051353,49228
0,90,0.75728,10.53500348,0
0.05,90,0.76098,12.38793461,22
0.1,90,0.71742,14.63392716,8775
0.15,90,0.62762,14.52440206,36846
0.2,90,0.50112,16.792789,49888
0,100,0.76912,10.80426312,0
