probPopping,threshold,numTargets,optimal,optimal2,time,noResolution
0,5,2,0.9,0.1,1.9033333333333335,0
0,5,3,0.5,0.0,2.8705952380952384,0
0,5,4,0.5,0.1,3.2814574314574316,0
0.05,5,2,0.9,0.1,2.25,0
0.05,5,3,0.8,0.1,2.666428571428572,0
0.05,5,4,0.2,0.2,5.4322410922410915,0
0.1,5,2,0.9,0.1,2.0319047619047614,0
0.1,5,3,0.7,0.0,2.690714285714286,0
0.1,5,4,0.6,0.2,3.808903318903319,0
0.2,5,2,0.8,0.2,3.11047619047619,0
0.2,5,3,0.8,0.1,3.525119047619048,0
0.2,5,4,0.5,0.0,10.883261183261183,1
0,6,2,0.7,0.3,2.3851587301587296,0
0,6,3,0.5,0.1,3.157391774891775,0
0,6,4,0.6,0.1,3.567320457320457,0
0.05,6,2,0.6,0.4,2.8553968253968254,0
0.05,6,3,0.4,0.1,3.8550432900432896,0
0.05,6,4,0.7,0.1,4.516651126651127,0
0.1,6,2,0.5,0.5,2.8349206349206346,0
0.1,6,3,0.4,0.4,4.16012987012987,0
0.1,6,4,0.7,0.0,4.5518326118326105,0
0.2,6,2,0.7,0.3,3.2511904761904757,0
0.2,6,3,0.4,0.3,11.268783068783067,1
0.2,6,4,0.5,0.0,19.260544217687077,3
0,7,2,0.8,0.2,2.4590548340548337,0
0,7,3,0.6,0.1,3.767149517149517,0
0,7,4,0.8,0.0,4.148317793317792,0
0.05,7,2,0.4,0.6,3.2131024531024535,0
0.05,7,3,0.7,0.2,4.389094239094239,0
0.05,7,4,0.7,0.0,4.667691197691197,0
0.1,7,2,0.7,0.3,3.486666666666666,0
0.1,7,3,0.7,0.1,4.2026320738085445,0
0.1,7,4,0.5,0.1,5.969400044400045,0
0.2,7,2,0.6,0.3,6.928579445246111,1
0.2,7,3,0.6,0.2,4.977997835497835,0
0.2,7,4,0.7,0.0,14.467612634279302,1
0,8,2,0.7,0.3,2.693891108891109,0
0,8,3,0.5,0.3,4.236864924291395,0
0,8,4,0.5,0.3,5.0309065953863366,0
0.05,8,2,0.6,0.4,3.3336580086580083,0
0.05,8,3,0.7,0.1,4.718149766899767,0
0.05,8,4,0.2,0.3,6.037334291095902,0
0.1,8,2,0.6,0.4,4.064300144300144,0
0.1,8,3,0.5,0.2,5.61498929991577,0
0.1,8,4,0.5,0.1,6.975264343499637,0
0.2,8,2,0.7,0.3,4.399453879453881,0
0.2,8,3,0.5,0.1,7.905929994927672,0
0.2,8,4,0.5,0.1,16.824632312132312,2
0,9,2,1.0,0.0,2.6923926073926068,0
0,9,3,0.7,0.1,3.9307134532134533,0
0,9,4,0.5,0.3,5.143301779060293,0
0.05,9,2,0.7,0.3,3.0282756132756132,0
0.05,9,3,0.8,0.2,4.29886375879023,0
0.05,9,4,0.5,0.0,6.509571433038924,0
0.1,9,2,0.7,0.3,3.3450022200022196,0
0.1,9,3,0.6,0.4,4.958592241092241,0
0.1,9,4,0.8,0.1,5.753347208347209,0
0.2,9,2,0.7,0.3,5.26238455988456,0
0.2,9,3,0.5,0.3,9.550111555111554,0
0.2,9,4,0.6,0.0,19.923623995052562,3
0,10,2,0.8,0.2,3.181655729891024,0
0,10,3,0.9,0.1,4.133331882256032,0
0,10,4,0.4,0.1,5.72857697685871,0
0.05,10,2,0.9,0.1,3.053402708402708,0
0.05,10,3,0.6,0.1,4.399636722926197,0
0.05,10,4,0.7,0.2,6.382677031598803,0
0.1,10,2,0.7,0.3,3.241629204129204,0
0.1,10,3,0.6,0.3,5.17951257076257,0
0.1,10,4,0.7,0.2,7.206600052256265,0
0.2,10,2,0.5,0.5,5.845023865023864,0
0.2,10,3,0.6,0.3,14.667363620498293,1
0.2,10,4,0.7,0.1,15.562193362193362,2
0,11,2,0.5,0.5,3.4215429625414147,0
0,11,3,0.8,0.1,4.586717281753559,0
0,11,4,0.9,0.0,4.795059850201996,0
0.05,11,2,0.9,0.1,3.057308883926531,0
0.05,11,3,0.3,0.2,5.326624870227811,0
0.05,11,4,0.6,0.4,6.733206849356973,0
0.1,11,2,0.7,0.3,4.225124124241772,0
0.1,11,3,0.5,0.1,7.296179776106247,0
0.1,11,4,0.7,0.1,7.764303000061514,0
0.2,11,2,0.5,0.5,6.027635697635699,0
0.2,11,3,0.7,0.0,10.442358995493668,1
0.2,11,4,0.4,0.0,41.257726717726726,5
0,12,2,0.8,0.2,3.4699295759280275,0
0,12,3,0.7,0.2,5.295893700860992,0
0,12,4,0.9,0.0,5.761852503075756,0
0.05,12,2,0.7,0.3,3.882778867159672,0
0.05,12,3,0.6,0.1,5.274345482948425,0
0.05,12,4,0.4,0.0,7.066966369475097,0
0.1,12,2,0.8,0.2,3.4322402270931676,0
0.1,12,3,0.7,0.1,6.486122457809462,0
0.1,12,4,0.7,0.0,9.266249223772444,0
0.2,12,2,0.7,0.3,4.778996179259337,0
0.2,12,3,0.4,0.2,11.458821086034707,0
0.2,12,4,0.5,0.0,32.98498908498909,4
0,13,2,0.6,0.4,3.5421484681469204,0
0,13,3,0.7,0.1,5.119533427147777,0
