startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.15,2,0.24404,1.3934609178618722,14
0.2,2,0.25283,1.6477478604674134,95
0.15,3,0.38728,3.372542154529467,119
0.2,3,0.3826,4.455760267899321,1292
0.15,4,0.40956,5.8716312251993505,964
0.2,4,0.39561,7.660674100938654,7517
0.15,5,0.44772,7.693616934903759,3586
0.2,5,0.41943,9.36197427808647,19884
0.15,6,0.4649,9.131935518136837,7903
0.2,6,0.42036,10.289820590030244,33535
0.15,7,0.48235,10.106906802799703,12509
0.2,7,0.41859,10.87467041003889,42546
0.15,8,0.49027,10.899144257792234,17167
0.2,8,0.41982,11.30884229709117,48272
0.15,9,0.49908,11.437561195318235,21225
0.2,9,0.4182,11.7628775936632,52318
0.15,10,0.51039,11.844535056620197,24585
0.2,10,0.41537,12.229874434472293,54760
0.15,11,0.51306,12.160017359587679,28302
0.2,11,0.40971,12.621437689043573,56795
0.15,12,0.52092,12.390407970683317,30873
0.2,12,0.40696,13.071289940913443,57799
0.15,13,0.52095,12.598414001115659,33307
0.2,13,0.40083,13.363099347497013,58952
0.15,14,0.52205,12.831151735950458,35537
0.2,14,0.40078,13.78865242197014,59260
0.15,15,0.52494,12.954807043249886,37349
0.2,15,0.3976,14.04265011524204,59853
0.15,16,0.52527,13.08925546679196,38954
0.2,16,0.39505,14.417272121889111,60266
0.15,17,0.52734,13.204535305624288,40237
0.2,17,0.39263,14.732512263030863,60577
0.15,18,0.52414,13.29824190199803,41810
0.2,18,0.38507,14.99822976234582,61402
0.15,19,0.52714,13.486384413921746,42475
0.2,19,0.38394,15.246740414476164,61542
0.15,20,0.52597,13.556181362826438,43351
0.2,20,0.38064,15.504719570052151,61897
0.15,21,0.52573,13.686008333520048,44138
0.2,21,0.37793,15.666295105328196,62179
0.15,22,0.52407,13.801694854675658,44803
0.2,22,0.37591,15.943322885397311,62391
0.15,23,0.52713,13.900007994093924,45041
0.2,23,0.37128,16.12396078460242,62858
0.15,24,0.52406,14.0598297037689,45756
0.2,24,0.36616,16.285564834935627,63373
0.15,25,0.52322,14.161874302145183,46154
0.2,25,0.36654,16.461851443250957,63340
0.15,26,0.52605,14.253156277200963,46218
0.2,26,0.36001,16.635331855817224,63996
0.15,27,0.52197,14.362305600825495,46867
0.2,27,0.35936,16.82308889054489,64063
0.15,28,0.52141,14.49689571561513,47043
0.2,28,0.35573,16.974765614550577,64426
0.15,29,0.51969,14.583075486526067,47409
0.2,29,0.35453,17.1068451055517,64545
0.15,30,0.51889,14.75558973170221,47544
0.2,30,0.34865,17.24517568853275,65135
0.15,31,0.52033,14.818538110522947,47543
0.2,31,0.34569,17.375098024639914,65431
0.15,32,0.51826,14.943005069030551,47828
0.2,32,0.34582,17.49805448801278,65418
0.15,33,0.5186,15.074476419038513,47817
0.2,33,0.33924,17.66108233615365,66075
0.15,34,0.51351,15.166353192527831,48435
0.2,34,0.33909,17.722524632465305,66091
0.15,35,0.51538,15.267560791239623,48259
0.2,35,0.33658,17.827586250015436,66342
0.15,36,0.51464,15.364754900764103,48380
0.2,36,0.33185,17.964108060466312,66815
0.15,37,0.51419,15.477129487570704,48441
0.2,37,0.33011,18.1170388814958,66989
0.15,38,0.51341,15.523789119870353,48572
0.2,38,0.32838,18.165790850395183,67162
0.15,39,0.51451,15.617034279358242,48462
0.2,39,0.32458,18.240022199379705,67542
0.15,40,0.50813,15.709468261149347,49126
0.2,40,0.32447,18.334622686965016,67553
0.15,41,0.50988,15.805861184071034,48962
0.2,41,0.32115,18.47770054972343,67885
0.15,42,0.50768,15.922802539226279,49189
0.2,42,0.31533,18.553964527496426,68467
0.15,43,0.50909,16.0520629022643,49047
0.2,43,0.31461,18.64261715177294,68539
0.15,44,0.50735,16.036287615556112,49239
0.2,44,0.31101,18.712123308673362,68899
0.15,45,0.50589,16.11679033396108,49398
0.2,45,0.30834,18.829576274269808,69166
0.15,46,0.50485,16.202367203651715,49494
0.2,46,0.306,18.84632496429522,69400
0.15,47,0.50697,16.289766677277107,49289
0.2,47,0.30552,18.972921604869377,69448
0.15,48,0.50592,16.375107242454746,49393
0.2,48,0.30397,19.044676511134835,69603
0.15,49,0.50349,16.465766335252432,49637
0.2,49,0.2994,19.13996004263522,70060
0.15,50,0.49852,16.513046858002358,50142
0.2,50,0.29644,19.17071769583693,70356
