startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(5, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time
0.0,5,0.61588,3.091996119115739
0.01,5,0.61721,3.099497377101989
0.02,5,0.61313,3.115313095456338
0.03,5,0.61378,3.1182707390177797
0.04,5,0.61581,3.1205952719276544
0.05,5,0.61053,3.142748198604746
0.06,5,0.60941,3.156361439040755
0.07,5,0.60987,3.1561985696551766
0.08,5,0.60883,3.1745592645730123
0.09,5,0.60455,3.1887665792313706
0.1,5,0.60385,3.2017174230199035
0.0,10,0.76035,4.630513840175002
0.01,10,0.7569,4.650752062252547
0.02,10,0.7533,4.671079873428644
0.03,10,0.75121,4.692617228907488
0.04,10,0.74339,4.728536370653912
0.05,10,0.74306,4.741348620752505
0.06,10,0.73537,4.780224429447337
0.07,10,0.73598,4.792356372147192
0.08,10,0.73063,4.817160504589251
0.09,10,0.72628,4.848502680810365
0.1,10,0.72224,4.873659402207901
0.0,15,0.823,5.38362593847657
0.01,15,0.81625,5.425434482713553
0.02,15,0.81109,5.469029383154495
0.03,15,0.80339,5.494619056279368
0.04,15,0.8021,5.504455906140397
0.05,15,0.79343,5.554346931322663
0.06,15,0.78816,5.59089397424155
0.07,15,0.78168,5.645482537644202
0.08,15,0.77816,5.658016254798425
0.09,15,0.7704,5.710683963790996
0.1,15,0.76859,5.737388625179832
0.0,20,0.85534,5.886761688134399
0.01,20,0.84753,5.936043896498669
0.02,20,0.84345,5.956373929539159
0.03,20,0.83622,5.988520757307661
0.04,20,0.82944,6.039878218078423
0.05,20,0.82098,6.088501754102073
0.06,20,0.81397,6.135838288408778
0.07,20,0.80992,6.1547247995233745
0.08,20,0.80261,6.213782340296994
0.09,20,0.79749,6.252484423329877
0.1,20,0.789,6.3226125694050115
0.0,25,0.88025,6.222085656307464
0.01,25,0.86966,6.287282362734509
0.02,25,0.86081,6.323000907514815
0.03,25,0.85268,6.387517408642212
0.04,25,0.8446,6.442213960534855
0.05,25,0.83838,6.466755352638354
0.06,25,0.83068,6.531384054688756
0.07,25,0.82574,6.5670466578105895
0.08,25,0.81842,6.611990918061717
0.09,25,0.8065,6.708742643940529
0.1,25,0.80377,6.7332273449819455
0.0,30,0.89325,6.515318341735466
0.01,30,0.88457,6.555850631563191
0.02,30,0.8775,6.605255425880085
0.03,30,0.86806,6.654683603219535
0.04,30,0.85909,6.7237331214960525
0.05,30,0.84924,6.78752262640225
0.06,30,0.84243,6.828788707602381
0.07,30,0.83309,6.9144103817580085
0.08,30,0.82527,6.962075069808195
0.09,30,0.81876,7.006236412051621
0.1,30,0.80851,7.098867431005708
0.0,35,0.90667,6.729903767392835
0.01,35,0.89601,6.787210600654261
0.02,35,0.88575,6.8648913390217725
0.03,35,0.87632,6.917271797516404
0.04,35,0.86551,6.994259307966031
0.05,35,0.85769,7.044964497120752
0.06,35,0.8503,7.099697029733224
0.07,35,0.8395,7.180114356099637
0.08,35,0.83044,7.2474835267802655
0.09,35,0.82367,7.301227143307063
0.1,35,0.81487,7.382625055798544
0.0,40,0.91555,6.919052669490421
0.01,40,0.90323,6.978410492977699
0.02,40,0.89317,7.047043801655431
0.03,40,0.88292,7.12394372026063
0.04,40,0.8714,7.197761147893601
0.05,40,0.8632,7.284397882958576
0.06,40,0.85374,7.323165231470659
0.07,40,0.8421,7.418194458904921
0.08,40,0.83515,7.470262623688655
0.09,40,0.828,7.5456491769551075
0.1,40,0.81986,7.616896494380267
0.0,45,0.92294,7.081947308936031
0.01,45,0.91179,7.137736236952079
0.02,45,0.90066,7.200682253402712
0.03,45,0.89118,7.266900837950587
0.04,45,0.87932,7.358855610504971
0.05,45,0.86825,7.456707532533845
0.06,45,0.8589,7.51424128474404
0.07,45,0.85005,7.585335330433575
0.08,45,0.84055,7.665179347127478
0.09,45,0.82991,7.7664467555537176
0.1,45,0.82336,7.813438622881944
0.0,50,0.9287,7.2146828155305425
0.01,50,0.91747,7.278873628286641
0.02,50,0.90521,7.366317219425732
0.03,50,0.8945,7.441228553646902
0.04,50,0.88218,7.521630212168482
0.05,50,0.87238,7.5958429458439785
0.06,50,0.86059,7.707069353970365
0.07,50,0.85149,7.773674957216764
0.08,50,0.84397,7.8402006391187395
0.09,50,0.8326,7.921835511208481
0.1,50,0.82282,8.022252161735489
0.0,55,0.93513,7.3304648601836995
0.01,55,0.92145,7.4225922534046225
0.02,55,0.90952,7.493646501090851
0.03,55,0.89618,7.60475152302059
0.04,55,0.88611,7.659668921293168
0.05,55,0.87644,7.7286435193036365
0.06,55,0.86467,7.828112847485522
0.07,55,0.85285,7.944800784388022
0.08,55,0.84304,8.026885531998538
0.09,55,0.83635,8.082746451971849
0.1,55,0.82723,8.180582319761086
0.0,60,0.93953,7.4422009106852425
0.01,60,0.92519,7.536071975624998
0.02,60,0.91046,7.635917896342768
0.03,60,0.89967,7.7075898080217025
0.04,60,0.88958,7.779561554157908
0.05,60,0.87749,7.8786814262380895
0.06,60,0.86501,7.9977364285139565
0.07,60,0.85541,8.082236311451164
0.08,60,0.84634,8.163890600340162
0.09,60,0.83649,8.255458438851084
0.1,60,0.82755,8.320497425054514
0.0,65,0.94254,7.540448257238887
0.01,65,0.9295,7.6313816828146415
0.02,65,0.91692,7.719700517930017
0.03,65,0.90223,7.839429517074249
0.04,65,0.89391,7.877736661880489
0.05,65,0.87998,7.991770944271609
0.06,65,0.86663,8.128445105725005
0.07,65,0.85731,8.189624264702006
0.08,65,0.84738,8.28369216479171
0.09,65,0.83605,8.401999712569236
0.1,65,0.82835,8.47633670361843
0.0,70,0.94496,7.635458175587387
0.01,70,0.93065,7.72916695336403
0.02,70,0.9163,7.858457264384576
0.03,70,0.90465,7.919035677332731
0.04,70,0.8918,8.026891280391252
0.05,70,0.8826,8.10064814408277
0.06,70,0.86618,8.276191099955163
0.07,70,0.8583,8.314240896850494
0.08,70,0.84818,8.426430766701499
0.09,70,0.84,8.49969538374013
0.1,70,0.82916,8.604876104945209
0.0,75,0.94915,7.707563189695548
0.01,75,0.93393,7.794766725384101
0.02,75,0.91922,7.939339311031929
0.03,75,0.90546,8.042961502559832
0.04,75,0.89459,8.125653085937675
0.05,75,0.88279,8.223522732069066
0.06,75,0.86888,8.343541278908113
0.07,75,0.8577,8.438337447363624
0.08,75,0.84923,8.52298764095441
0.09,75,0.84,8.619448286283182
0.1,75,0.82848,8.759522309561287
0.0,80,0.95249,7.811411011845152
0.01,80,0.9351,7.903787959857682
0.02,80,0.92139,8.015355218375179
0.03,80,0.9078,8.109179386768549
0.04,80,0.89546,8.223428268575567
0.05,80,0.8849,8.302767978626521
0.06,80,0.87317,8.39545897659479
0.07,80,0.86328,8.496253829743283
0.08,80,0.85013,8.630973146472007
0.09,80,0.83897,8.741082969419464
0.1,80,0.83066,8.831101656165544
0.0,85,0.95349,7.869370530391549
0.01,85,0.9385,7.995489905002544
0.02,85,0.92423,8.085126185122888
0.03,85,0.91074,8.177423839139152
0.04,85,0.89708,8.301453311858987
0.05,85,0.88422,8.415334073418245
0.06,85,0.87304,8.51420499990018
0.07,85,0.86229,8.615385814812097
0.08,85,0.84987,8.752842116565532
0.09,85,0.84037,8.849195458305667
0.1,85,0.82921,8.95921467699924
0.0,90,0.95591,7.917979861853885
0.01,90,0.94084,8.046111991358336
0.02,90,0.92498,8.180116913274942
0.03,90,0.91096,8.26673499708194
0.04,90,0.89791,8.37494163215817
0.05,90,0.88522,8.49802109290112
0.06,90,0.87346,8.609068116571846
0.07,90,0.86187,8.712803530492511
0.08,90,0.85055,8.837520529123102
0.09,90,0.84259,8.914556289226196
0.1,90,0.83297,9.038924895958466
0.0,95,0.95694,7.989742747154301
0.01,95,0.94123,8.125910356128788
0.02,95,0.92552,8.236836018613403
0.03,95,0.91146,8.369714920317117
0.04,95,0.89758,8.481461019370554
0.05,95,0.88502,8.591222943335257
0.06,95,0.8744,8.677293537169387
0.07,95,0.86202,8.807840683688081
0.08,95,0.85006,8.93673207864471
0.09,95,0.84069,9.052828620508471
0.1,95,0.8314,9.158924350348023
0.0,100,0.95842,8.061891225248342
0.01,100,0.94321,8.19228688992028
0.02,100,0.92719,8.302802208108906
0.03,100,0.91315,8.434674781922526
0.04,100,0.89977,8.542408249207941
0.05,100,0.887,8.65076313346922
0.06,100,0.87432,8.78038308283999
0.07,100,0.8612,8.914442520847928
0.08,100,0.85223,8.985107223681126
0.09,100,0.84308,9.090026226551101
0.1,100,0.83212,9.231130166893712
0.0,105,0.96016,8.127432422796897
0.01,105,0.9443,8.242639555787997
0.02,105,0.92772,8.374043785916042
0.03,105,0.91379,8.49280697726383
0.04,105,0.89985,8.613243055834385
0.05,105,0.88681,8.72240377420513
0.06,105,0.87383,8.862708170012903
0.07,105,0.86323,8.969276661047026
0.08,105,0.85241,9.062839019637522
0.09,105,0.84093,9.212081415564944
0.1,105,0.83254,9.29776677709481
0.0,110,0.96334,8.175603810457805
0.01,110,0.94431,8.316572523398232
0.02,110,0.92842,8.442948800487029
0.03,110,0.91482,8.538485790690569
0.04,110,0.90067,8.690653355576181
0.05,110,0.8869,8.809233218706778
0.06,110,0.87637,8.89457729940468
0.07,110,0.86463,9.041214784358012
0.08,110,0.85195,9.176904710978446
0.09,110,0.84301,9.26117438073852
0.1,110,0.83399,9.362640286764064
0.0,115,0.96325,8.247543996811062
0.01,115,0.94527,8.363261038201603
0.02,115,0.93067,8.476971081165207
0.03,115,0.91726,8.585017715062046
0.04,115,0.90156,8.73144231800187
0.05,115,0.88841,8.854369768637152
0.06,115,0.87531,8.987445976824759
0.07,115,0.86243,9.125554968153107
0.08,115,0.85493,9.19177715871064
0.09,115,0.8426,9.35137138189167
0.1,115,0.83571,9.422034104940666
0.0,120,0.96432,8.286904105836854
0.01,120,0.94494,8.420383626531049
0.02,120,0.93183,8.504098471856308
0.03,120,0.91581,8.655179159904808
0.04,120,0.90229,8.786458478257156
0.05,120,0.8907,8.895195147416587
0.06,120,0.87597,9.046324975207096
0.07,120,0.86381,9.195333914822525
0.08,120,0.85297,9.304432622769745
0.09,120,0.84317,9.416969844785571
0.1,120,0.83031,9.586420751139245
0.0,125,0.96482,8.338455159253545
0.01,125,0.94703,8.468704525734307
0.02,125,0.93145,8.58848793866748
0.03,125,0.91736,8.732785916473938
0.04,125,0.90197,8.857163074975487
0.05,125,0.88849,8.979950824291889
0.06,125,0.87573,9.140127985643717
0.07,125,0.86571,9.230588854836128
0.08,125,0.85294,9.376954689923831
0.09,125,0.84145,9.505479348669548
0.1,125,0.83405,9.59003398558947
0.0,130,0.96636,8.383115894882222
0.01,130,0.94751,8.519309146587624
0.02,130,0.93325,8.630386314408904
0.03,130,0.91744,8.760312649849054
0.04,130,0.9027,8.903651963520511
