startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.20189,1.0,0
0.01,2,0.20149,1.0161533333333335,0
0.02,2,0.20622,1.0329158333333333,0
0.03,2,0.21153,1.051239166666667,0
0.04,2,0.21455,1.0717608333333346,0
0.05,2,0.21558,1.0922808333333354,0
0.06,2,0.21912,1.1137258333333366,0
0.07,2,0.22172,1.137870000000007,0
0.08,2,0.22396,1.1618541185411948,1
0.09,2,0.22769,1.1863391666666818,0
0.1,2,0.22908,1.2174396743967604,1
0.0,3,0.40756,2.0322769841295782,0
0.01,3,0.40643,2.0959367857166917,0
0.02,3,0.40317,2.1604550396847397,0
0.03,3,0.40549,2.2286586507957242,0
0.04,3,0.40441,2.3013869444463317,0
0.05,3,0.40429,2.384242678573227,0
0.06,3,0.40346,2.477454682541344,0
0.07,3,0.40177,2.5666208730173854,0
0.08,3,0.40059,2.676432438928875,1
0.09,3,0.40164,2.7942748214296116,0
0.1,3,0.4002,2.9064880279749623,3
0.0,4,0.37451,3.291580762156422,0
0.01,4,0.38306,3.3982133799550165,0
0.02,4,0.38931,3.5236199740550393,0
0.03,4,0.39766,3.6436497927084024,0
0.04,4,0.40283,3.792556877706556,0
0.05,4,0.40661,3.944260265429758,0
0.06,4,0.40939,4.138989371739913,0
0.07,4,0.41133,4.334937218198865,0
0.08,4,0.41367,4.550677671062822,2
0.09,4,0.4145,4.81198614885126,0
0.1,4,0.4172,5.103814266804399,7
0.0,5,0.47193,3.867147391334329,0
0.01,5,0.46772,4.059477005409554,0
0.02,5,0.46545,4.268726335916233,0
0.03,5,0.4628,4.497954514919212,0
0.04,5,0.46577,4.746285023867077,0
0.05,5,0.46814,5.0261601384604715,0
0.06,5,0.46776,5.322392305095791,0
0.07,5,0.46454,5.6946068085222885,0
0.08,5,0.46758,6.0872480352112,1
0.09,5,0.46285,6.5569245944076835,1
0.1,5,0.45923,7.074711278525487,1
0.0,6,0.45563,4.747469166059181,0
0.01,6,0.46945,4.966807109826678,0
0.02,6,0.47995,5.215875156639577,0
0.03,6,0.48419,5.507021664518425,0
0.04,6,0.48794,5.851826468018096,0
