startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.0,2,0.20106,1.0,0
0.01,2,0.20262,1.0168066666666666,0
0.02,2,0.20675,1.034161666666667,0
0.03,2,0.20715,1.053513333333334,0
0.04,2,0.21388,1.070290000000001,0
0.05,2,0.21727,1.0921966666666685,0
0.06,2,0.21857,1.1154891666666698,0
0.07,2,0.22087,1.1372608333333394,0
0.08,2,0.22424,1.1606658333333426,0
0.09,2,0.22886,1.1908794087941013,1
0.1,2,0.23273,1.2148046480464976,1
0.0,3,0.40707,2.0301219246057545,0
0.01,3,0.40417,2.0710933531771523,0
0.02,3,0.40269,2.116062896827912,0
0.03,3,0.40372,2.1571433730183247,0
0.04,3,0.40323,2.210998551589694,0
0.05,3,0.39909,2.272118948415072,0
0.06,3,0.39935,2.3338358134943697,0
0.07,3,0.39765,2.3994856813670014,1
0.08,3,0.39848,2.487533506289649,1
0.09,3,0.39663,2.569723911527011,1
0.1,3,0.39785,2.664969016532792,3
0.0,4,0.37528,3.2851430328023787,0
0.01,4,0.37792,3.3598162319641443,0
0.02,4,0.38223,3.4397213078603115,0
0.03,4,0.38883,3.515751185066232,0
0.04,4,0.3891,3.612561698719101,0
0.05,4,0.39121,3.7074150657685623,0
0.06,4,0.39967,3.825785464813671,0
0.07,4,0.3979,3.9576531843162694,0
0.08,4,0.40295,4.097745040237981,0
0.09,4,0.40427,4.273986931927636,1
0.1,4,0.40659,4.464296609303514,2
0.0,5,0.46871,3.867645901632465,0
0.01,5,0.46804,3.9879369053637945,0
0.02,5,0.46282,4.1126398183273185,0
0.03,5,0.46645,4.23303720690416,0
0.04,5,0.46531,4.374829481226829,0
0.05,5,0.46231,4.537165288626523,0
0.06,5,0.45987,4.699817783415179,0
0.07,5,0.46119,4.896134899934161,0
0.08,5,0.46101,5.1126222496329605,1
0.09,5,0.463,5.395328169231728,1
0.1,5,0.46081,5.702908147449211,3
0.0,6,0.45515,4.747017570895052,0
0.01,6,0.46313,4.8590721916946125,0
0.02,6,0.46846,4.990126816768919,0
0.03,6,0.47252,5.138205092667043,0
0.04,6,0.47497,5.295276734509575,0
0.05,6,0.47615,5.495584918546481,0
0.06,6,0.47698,5.703573600791366,0
0.07,6,0.47773,5.957023784248391,0
0.08,6,0.48014,6.227850923551998,0
0.09,6,0.47879,6.595800786752452,1
0.1,6,0.4768,6.985102106674176,5
0.0,7,0.51955,5.112862494427181,0
0.01,7,0.51441,5.283495799696004,0
0.02,7,0.51369,5.461420869281774,0
0.03,7,0.51381,5.646652619085857,0
0.04,7,0.51297,5.855160502439817,0
0.05,7,0.51107,6.090234259904105,0
0.06,7,0.50757,6.373914586923947,0
0.07,7,0.51151,6.6632112160175785,0
0.08,7,0.50907,7.025031220702195,1
0.09,7,0.50583,7.4446340807758995,2
0.1,7,0.50267,7.970341540240235,5
0.0,8,0.51066,5.765213590183419,0
0.01,8,0.51662,5.919258593564718,0
0.02,8,0.51856,6.099432496128235,0
0.03,8,0.52194,6.299690288866672,0
0.04,8,0.52417,6.515646262743471,0
0.05,8,0.52641,6.77778029774032,0
0.06,8,0.52543,7.063213556827858,0
0.07,8,0.52811,7.404205940711318,0
0.08,8,0.52686,7.798959270973821,2
0.09,8,0.52292,8.318079471882243,1
0.1,8,0.52185,8.898133342814386,7
0.0,9,0.55545,6.029059512848258,0
0.01,9,0.55032,6.2389167334725455,0
0.02,9,0.55001,6.455900033367166,0
0.03,9,0.55008,6.696409925918713,0
0.04,9,0.55125,6.965170663018317,0
0.05,9,0.55023,7.259088745320972,0
0.06,9,0.54717,7.597902493699991,0
0.07,9,0.5457,7.9726231182894765,0
0.08,9,0.54244,8.441323282026215,0
0.09,9,0.53949,8.999161702856963,0
0.1,9,0.53506,9.699345220812589,13
0.0,10,0.55107,6.547194660075721,0
0.01,10,0.55801,6.72273926416634,0
0.02,10,0.55755,6.936453476153517,0
0.03,10,0.56073,7.180744157675328,0
0.04,10,0.56216,7.456343474911447,0
0.05,10,0.5624,7.7682967655237345,0
0.06,10,0.56313,8.12405397838555,0
0.07,10,0.55984,8.5363470440229,0
0.08,10,0.55589,9.043114994451743,0
