probPopping,threshold,numChoices,share1,share2,time,noResolution,startingContents,increaseRates
0,5,2,0.80032,0.19968,1.5998480000004116,0,"(1, 1)","((4,), (1,))"
0,5,2,0.62302,0.37698,1.251435,0,"(1, 1)","((4,), (2,))"
0,5,2,0.60019,0.39981,1.1998239999989646,0,"(1, 1)","((4,), (3,))"
0,6,2,0.793,0.207,1.9847853253966075,0,"(1, 1)","((4,), (1,))"
0,6,2,0.61724,0.38276,1.6213675000003487,0,"(1, 1)","((4,), (2,))"
0,6,2,0.52031,0.47969,1.4076093333322097,0,"(1, 1)","((4,), (3,))"
0,7,2,0.82177,0.17823,2.044088639249657,0,"(1, 1)","((4,), (1,))"
0,7,2,0.61912,0.38088,1.6206830000003416,0,"(1, 1)","((4,), (2,))"
0,7,2,0.51723,0.48277,1.4078237777766416,0,"(1, 1)","((4,), (3,))"
0,8,2,0.84605,0.15395,2.08480967243877,0,"(1, 1)","((4,), (1,))"
0,8,2,0.66256,0.33744,1.7189675000007631,0,"(1, 1)","((4,), (2,))"
0,8,2,0.57214,0.42786,1.5301127777768422,0,"(1, 1)","((4,), (3,))"
0,9,2,0.86188,0.13812,2.119770399544982,0,"(1, 1)","((4,), (1,))"
0,9,2,0.6638,0.3362,1.717831333334062,0,"(1, 1)","((4,), (2,))"
0,9,2,0.57625,0.42375,1.5288882222212552,0,"(1, 1)","((4,), (3,))"
0,10,2,0.85995,0.14005,2.339782177028287,0,"(1, 1)","((4,), (1,))"
0,10,2,0.66104,0.33896,1.9329941269839845,0,"(1, 1)","((4,), (2,))"
0,10,2,0.5264,0.4736,1.6478280876062017,0,"(1, 1)","((4,), (3,))"
0,11,2,0.87186,0.12814,2.3674955579708103,0,"(1, 1)","((4,), (1,))"
0,11,2,0.66034,0.33966,1.9329919563490843,0,"(1, 1)","((4,), (2,))"
0,11,2,0.56678,0.43322,1.7338220158569317,0,"(1, 1)","((4,), (3,))"
0,12,2,0.88392,0.11608,2.3863185915181573,0,"(1, 1)","((4,), (1,))"
0,12,2,0.69107,0.30893,1.9871941507942141,0,"(1, 1)","((4,), (2,))"
0,12,2,0.5667,0.4333,1.7341886971946026,0,"(1, 1)","((4,), (3,))"
0,13,2,0.89104,0.10896,2.410135860969714,0,"(1, 1)","((4,), (1,))"
0,13,2,0.68551,0.31449,1.9903028095243616,0,"(1, 1)","((4,), (2,))"
0,13,2,0.56811,0.43189,1.732920606858054,0,"(1, 1)","((4,), (3,))"
0,14,2,0.89109,0.10891,2.558032331979255,0,"(1, 1)","((4,), (1,))"
0,14,2,0.68511,0.31489,2.142632426823478,0,"(1, 1)","((4,), (2,))"
0,14,2,0.56272,0.43728,1.8836391954317224,0,"(1, 1)","((4,), (3,))"
0,15,2,0.89913,0.10087,2.5714965577674103,0,"(1, 1)","((4,), (1,))"
0,15,2,0.68244,0.31756,2.140659209235506,0,"(1, 1)","((4,), (2,))"
0,15,2,0.56767,0.43233,1.883261770365993,0,"(1, 1)","((4,), (3,))"
0,16,2,0.90608,0.09392,2.5790713423942404,0,"(1, 1)","((4,), (1,))"
0,16,2,0.70285,0.29715,2.1793371844549343,0,"(1, 1)","((4,), (2,))"
0,16,2,0.56666,0.43334,1.8830310240604777,0,"(1, 1)","((4,), (3,))"
0,17,2,0.9094,0.0906,2.5976419243524345,0,"(1, 1)","((4,), (1,))"
0,17,2,0.7035,0.2965,2.1802640969590716,0,"(1, 1)","((4,), (2,))"
0,17,2,0.58929,0.41071,1.9341025869723116,0,"(1, 1)","((4,), (3,))"
0,18,2,0.91041,0.08959,2.710501608016739,0,"(1, 1)","((4,), (1,))"
0,18,2,0.70407,0.29593,2.2952669999957367,0,"(1, 1)","((4,), (2,))"
0,18,2,0.56682,0.43318,2.0011980039633253,0,"(1, 1)","((4,), (3,))"
0,19,2,0.91697,0.08303,2.7194005066493037,0,"(1, 1)","((4,), (1,))"
0,19,2,0.7029,0.2971,2.295050624834923,0,"(1, 1)","((4,), (2,))"
0,19,2,0.56979,0.43021,2.000023050557197,0,"(1, 1)","((4,), (3,))"
0,20,2,0.91874,0.08126,2.738698950754681,0,"(1, 1)","((4,), (1,))"
0,20,2,0.7193,0.2807,2.323914337947598,0,"(1, 1)","((4,), (2,))"
0,20,2,0.58571,0.41429,2.0449503056272063,0,"(1, 1)","((4,), (3,))"
0,21,2,0.92283,0.07717,2.737101680431737,0,"(1, 1)","((4,), (1,))"
0,21,2,0.71786,0.28214,2.3241674959726004,0,"(1, 1)","((4,), (2,))"
0,21,2,0.58658,0.41342,2.0446000652608394,0,"(1, 1)","((4,), (3,))"
0,22,2,0.92373,0.07627,2.8327956965464227,0,"(1, 1)","((4,), (1,))"
0,22,2,0.71853,0.28147,2.4169432523297183,0,"(1, 1)","((4,), (2,))"
0,22,2,0.56967,0.43033,2.0988928583922455,0,"(1, 1)","((4,), (3,))"
0,23,2,0.92655,0.07345,2.8404055958896297,0,"(1, 1)","((4,), (1,))"
0,23,2,0.71611,0.28389,2.421370656342493,0,"(1, 1)","((4,), (2,))"
0,23,2,0.58747,0.41253,2.136731830364694,0,"(1, 1)","((4,), (3,))"
0,24,2,0.92871,0.07129,2.8492712045303623,0,"(1, 1)","((4,), (1,))"
0,24,2,0.72801,0.27199,2.442720610234159,0,"(1, 1)","((4,), (2,))"
0,24,2,0.58474,0.41526,2.136520662719001,0,"(1, 1)","((4,), (3,))"
0,25,2,0.93118,0.06882,2.8528504889706907,0,"(1, 1)","((4,), (1,))"
0,25,2,0.72808,0.27192,2.4415423328970376,0,"(1, 1)","((4,), (2,))"
0,25,2,0.5853,0.4147,2.1365990936280332,0,"(1, 1)","((4,), (3,))"
0,26,2,0.93227,0.06773,2.930839581233104,0,"(1, 1)","((4,), (1,))"
0,26,2,0.72787,0.27213,2.5212821506632266,0,"(1, 1)","((4,), (2,))"
0,26,2,0.58514,0.41486,2.215427062489507,0,"(1, 1)","((4,), (3,))"
0,27,2,0.93566,0.06434,2.935816804012989,0,"(1, 1)","((4,), (1,))"
0,27,2,0.72716,0.27284,2.523795247995907,0,"(1, 1)","((4,), (2,))"
0,27,2,0.58468,0.41532,2.215574995744644,0,"(1, 1)","((4,), (3,))"
0,28,2,0.93553,0.06447,2.94992968208272,0,"(1, 1)","((4,), (1,))"
0,28,2,0.73652,0.26348,2.5423630830440014,0,"(1, 1)","((4,), (2,))"
0,28,2,0.5884,0.4116,2.213951874027468,0,"(1, 1)","((4,), (3,))"
0,29,2,0.94046,0.05954,2.9461228267882613,0,"(1, 1)","((4,), (1,))"
0,29,2,0.73923,0.26077,2.539030648348635,0,"(1, 1)","((4,), (2,))"
0,29,2,0.59845,0.40155,2.2433762053810673,0,"(1, 1)","((4,), (3,))"
0,30,2,0.93855,0.06145,3.019958262514033,0,"(1, 1)","((4,), (1,))"
0,30,2,0.73811,0.26189,2.6067977488639893,0,"(1, 1)","((4,), (2,))"
0,30,2,0.58798,0.41202,2.2833335681762095,0,"(1, 1)","((4,), (3,))"
0,31,2,0.94167,0.05833,3.017418298088688,0,"(1, 1)","((4,), (1,))"
0,31,2,0.73646,0.26354,2.6102832776240024,0,"(1, 1)","((4,), (2,))"
0,31,2,0.58533,0.41467,2.284576662835839,0,"(1, 1)","((4,), (3,))"
0,32,2,0.94367,0.05633,3.0172851193172026,0,"(1, 1)","((4,), (1,))"
0,32,2,0.74557,0.25443,2.6252710631387117,0,"(1, 1)","((4,), (2,))"
0,32,2,0.59487,0.40513,2.3111805822101896,0,"(1, 1)","((4,), (3,))"
0,33,2,0.9436,0.0564,3.030264649940212,0,"(1, 1)","((4,), (1,))"
0,33,2,0.74487,0.25513,2.628011758669572,0,"(1, 1)","((4,), (2,))"
0,33,2,0.59645,0.40355,2.3114276155552753,0,"(1, 1)","((4,), (3,))"
0,34,2,0.94336,0.05664,3.092125618458754,0,"(1, 1)","((4,), (1,))"
0,34,2,0.74512,0.25488,2.685619730930923,0,"(1, 1)","((4,), (2,))"
0,34,2,0.5865,0.4135,2.3458109694430185,0,"(1, 1)","((4,), (3,))"
0,35,2,0.94733,0.05267,3.085561871860361,0,"(1, 1)","((4,), (1,))"
0,35,2,0.74829,0.25171,2.6817424093510245,0,"(1, 1)","((4,), (2,))"
0,35,2,0.59642,0.40358,2.3694319507335084,0,"(1, 1)","((4,), (3,))"
0,36,2,0.94777,0.05223,3.094880629334246,0,"(1, 1)","((4,), (1,))"
0,36,2,0.75251,0.24749,2.698874033036775,0,"(1, 1)","((4,), (2,))"
0,36,2,0.5943,0.4057,2.370160122169529,0,"(1, 1)","((4,), (3,))"
0,37,2,0.94763,0.05237,3.100584640511121,0,"(1, 1)","((4,), (1,))"
0,37,2,0.75334,0.24666,2.6987887918407245,0,"(1, 1)","((4,), (2,))"
0,37,2,0.59888,0.40112,2.3697171033732722,0,"(1, 1)","((4,), (3,))"
0,38,2,0.94879,0.05121,3.1540404408166958,0,"(1, 1)","((4,), (1,))"
0,38,2,0.75393,0.24607,2.751857202707786,0,"(1, 1)","((4,), (2,))"
0,38,2,0.59754,0.40246,2.4228113372575115,0,"(1, 1)","((4,), (3,))"
0,39,2,0.95026,0.04974,3.148365219382707,0,"(1, 1)","((4,), (1,))"
0,39,2,0.7527,0.2473,2.7554031280742017,0,"(1, 1)","((4,), (2,))"
0,39,2,0.59491,0.40509,2.423318580755141,0,"(1, 1)","((4,), (3,))"
0,40,2,0.95069,0.04931,3.1557700891693803,0,"(1, 1)","((4,), (1,))"
0,40,2,0.75584,0.24416,2.7688030511889643,0,"(1, 1)","((4,), (2,))"
0,40,2,0.59664,0.40336,2.4229171487447263,0,"(1, 1)","((4,), (3,))"
0,41,2,0.95179,0.04821,3.164410378915993,0,"(1, 1)","((4,), (1,))"
0,41,2,0.7585,0.2415,2.766872991618421,0,"(1, 1)","((4,), (2,))"
0,41,2,0.60616,0.39384,2.4419098856536263,0,"(1, 1)","((4,), (3,))"
0,42,2,0.9517,0.0483,3.2085108463125547,0,"(1, 1)","((4,), (1,))"
0,42,2,0.75977,0.24023,2.8134335314043546,0,"(1, 1)","((4,), (2,))"
0,42,2,0.59889,0.40111,2.470829696266095,0,"(1, 1)","((4,), (3,))"
0,43,2,0.9538,0.0462,3.204875573755988,0,"(1, 1)","((4,), (1,))"
0,43,2,0.75874,0.24126,2.812190270836117,0,"(1, 1)","((4,), (2,))"
0,43,2,0.59712,0.40288,2.4712887388730405,0,"(1, 1)","((4,), (3,))"
0,44,2,0.9547,0.0453,3.204605840060236,0,"(1, 1)","((4,), (1,))"
0,44,2,0.76278,0.23722,2.8242979128051644,0,"(1, 1)","((4,), (2,))"
0,44,2,0.60712,0.39288,2.490218239051023,0,"(1, 1)","((4,), (3,))"
0,45,2,0.95483,0.04517,3.2159023176400874,0,"(1, 1)","((4,), (1,))"
0,45,2,0.76359,0.23641,2.826087065095466,0,"(1, 1)","((4,), (2,))"
0,45,2,0.602,0.398,2.4920658776957128,0,"(1, 1)","((4,), (3,))"
0,46,2,0.95649,0.04351,3.2608329275276273,0,"(1, 1)","((4,), (1,))"
0,46,2,0.7629,0.2371,2.8696042884830764,0,"(1, 1)","((4,), (2,))"
0,46,2,0.59853,0.40147,2.5162392363424355,0,"(1, 1)","((4,), (3,))"
0,47,2,0.95729,0.04271,3.2621607125016947,0,"(1, 1)","((4,), (1,))"
0,47,2,0.7633,0.2367,2.8715801197996207,0,"(1, 1)","((4,), (2,))"
0,47,2,0.6042,0.3958,2.534907197918373,0,"(1, 1)","((4,), (3,))"
0,48,2,0.9567,0.0433,3.2651580756154166,0,"(1, 1)","((4,), (1,))"
0,48,2,0.77054,0.22946,2.874404287928207,0,"(1, 1)","((4,), (2,))"
0,48,2,0.60698,0.39302,2.533139145376446,0,"(1, 1)","((4,), (3,))"
0,49,2,0.95767,0.04233,3.265850121917867,0,"(1, 1)","((4,), (1,))"
0,49,2,0.76824,0.23176,2.879858502848357,0,"(1, 1)","((4,), (2,))"
0,49,2,0.60455,0.39545,2.5341815486815054,0,"(1, 1)","((4,), (3,))"
0,50,2,0.95931,0.04069,3.303290445903196,0,"(1, 1)","((4,), (1,))"
0,50,2,0.76781,0.23219,2.921067525134204,0,"(1, 1)","((4,), (2,))"
0,50,2,0.60555,0.39445,2.5736978858110175,0,"(1, 1)","((4,), (3,))"
0,51,2,0.95996,0.04004,3.2993337455188367,0,"(1, 1)","((4,), (1,))"
0,51,2,0.76911,0.23089,2.9174350660151465,0,"(1, 1)","((4,), (2,))"
0,51,2,0.60669,0.39331,2.5737837506918866,0,"(1, 1)","((4,), (3,))"
0,52,2,0.95965,0.04035,3.3128444607445338,0,"(1, 1)","((4,), (1,))"
0,52,2,0.7706,0.2294,2.9294098616309574,0,"(1, 1)","((4,), (2,))"
0,52,2,0.60285,0.39715,2.5754867880223964,0,"(1, 1)","((4,), (3,))"
0,53,2,0.96024,0.03976,3.311449260734066,0,"(1, 1)","((4,), (1,))"
0,53,2,0.77263,0.22737,2.9280775250069686,0,"(1, 1)","((4,), (2,))"
0,53,2,0.61541,0.38459,2.587450598481597,0,"(1, 1)","((4,), (3,))"
0,54,2,0.96043,0.03957,3.3484544267369083,0,"(1, 1)","((4,), (1,))"
0,54,2,0.77213,0.22787,2.968059310210223,0,"(1, 1)","((4,), (2,))"
0,54,2,0.60292,0.39708,2.6128466407719366,0,"(1, 1)","((4,), (3,))"
0,55,2,0.96031,0.03969,3.358296356650593,0,"(1, 1)","((4,), (1,))"
0,55,2,0.77039,0.22961,2.969934543634976,0,"(1, 1)","((4,), (2,))"
0,55,2,0.60555,0.39445,2.6116007136451955,0,"(1, 1)","((4,), (3,))"
0,56,2,0.96278,0.03722,3.345910710655991,0,"(1, 1)","((4,), (1,))"
0,56,2,0.77539,0.22461,2.9771260563809414,0,"(1, 1)","((4,), (2,))"
0,56,2,0.60878,0.39122,2.628045338105486,0,"(1, 1)","((4,), (3,))"
0,57,2,0.96355,0.03645,3.3496248352266806,0,"(1, 1)","((4,), (1,))"
0,57,2,0.77676,0.22324,2.975157887920514,0,"(1, 1)","((4,), (2,))"
0,57,2,0.61247,0.38753,2.626140010349293,0,"(1, 1)","((4,), (3,))"
0,58,2,0.96269,0.03731,3.3863660493035845,0,"(1, 1)","((4,), (1,))"
0,58,2,0.7762,0.2238,3.0101676694394706,0,"(1, 1)","((4,), (2,))"
0,58,2,0.60401,0.39599,2.648474440122622,0,"(1, 1)","((4,), (3,))"
0,59,2,0.96322,0.03678,3.3860317025057576,0,"(1, 1)","((4,), (1,))"
0,59,2,0.77469,0.22531,3.011805561508033,0,"(1, 1)","((4,), (2,))"
0,59,2,0.60796,0.39204,2.6623629367816686,0,"(1, 1)","((4,), (3,))"
